ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0050727,regulation of inflammatory response,101/1926,304/12963,3.698822777378518e-16,1.9755412453978666e-12,1.5986701393595995e-12,GRN/TGFB1/GPSM3/PYCARD/TNFRSF1B/HCK/TNFRSF1A/FUT7/PRKCD/NCF1/TNFAIP8L2/SBNO2/NINJ1/FGR/CEBPB/MYD88/PTPN6/GBA1/NLRP12/SPATA2/ALOX5/IL17RA/STAT3/RELA/METRNL/ELF4/HLA-E/ZFP36/PGLYRP1/LILRA5/ALOX5AP/CST7/ADAM8/RHBDF2/TNIP1/SIRPA/NLRP6/DAGLB/FFAR2/NLRX1/AKNA/MEFV/GGT1/EXTL3/IER3/CEBPA/DDT/GSDMD/GSTP1/SOCS3/FFAR3/TRADD/LGALS1/MMP9/S100A9/LPCAT3/IFI35/SHARPIN/BST1/HYAL2/F12/FURIN/OSM/STAT5B/NFKBIA/IL1B/S100A12/GPER1/AGER/CASP4/NLRC4/MAPK14/GHRL/SPHK1/SIGLEC10/SMPDL3B/FPR2/SRC/CARD16/TRPV4/ZBP1/MGLL/FCGR1A/GPX1/NAIP/BCL6/C3/FANCA/PTGES/S100A8/PGLYRP2/ZP3/TLR9/ELANE/C1QTNF12/ADORA2A/TNFAIP6/GPR17/PPARG/LGALS2/CXCL17,101
GO:0042742,defense response to bacterium,70/1926,203/12963,1.8419085578873333e-12,4.231053255488349e-9,3.423901431239007e-9,GRN/CYBA/PYCARD/CFP/BCL3/TNFRSF1A/PRKCD/FGR/CEBPB/MYD88/TFEB/RBCK1/HLA-E/PGLYRP1/IL6R/FCER1G/H2BC12/RNF31/NLRP6/C5AR1/HLA-A/SLC11A1/GSDMD/PPP1R11/SLPI/NAGK/S100A9/SHARPIN/TNFRSF14/IL1B/TREM1/S100A12/CLEC4E/PI3/IKBKG/ZNFX1/H2BC21/ANXA3/H2BC4/CASP4/NLRC4/EMILIN2/CARD9/MARCHF2/FPR2/STAB1/FCGR1A/NAIP/HP/ANG/S100A8/PGLYRP2/TLR9/ELANE/PLAC8/LCN2/BPI/AZU1/LTF/DEFA3/OAS1/IGHA2/EMILIN1/CAMP/IGHA1/CLEC4D/RNASE1/IGHG4/STAB2/MPO,70
GO:0006909,phagocytosis,70/1926,204/12963,2.404581979938555e-12,4.231053255488349e-9,3.423901431239007e-9,RARA/CYBA/PYCARD/CFP/HCK/TYROBP/VAV1/NCF4/LMAN2/PRKCD/ICAM3/CSK/ITGB2/FGR/UNC13D/MYD88/CNN2/ANXA11/DNM2/GSN/XKR8/DYSF/CD14/SH3BP1/RAB20/CORO1A/RAB7A/NCF2/CD300A/FCER1G/SIRPA/FCN1/SLC11A1/SIRPB1/CD300LF/CEACAM4/ITGAM/LIMK1/IL2RG/JMJD6/PAK1/TMEM175/CEBPE/IL1B/ANXA3/ABCA7/GAS6/AIF1/LRP1/SPHK1/ELMO3/IL15RA/FPR2/SRC/MARCO/ICAM5/FCGR1A/C3/C4BPA/TICAM2/ELANE/C2/AZU1/MYO7A/XKR7/ADORA2A/P2RY6/PRTN3/C4B/LEP,70
GO:0019221,cytokine-mediated signaling pathway,111/1926,393/12963,3.16873488521876e-12,4.231053255488349e-9,3.423901431239007e-9,SPI1/IFITM2/DOK1/PYCARD/TNFRSF1B/HCK/NR1H2/MAPK3/SH2B2/TNFRSF1A/TBKBP1/LILRA2/AGPAT2/PTK2B/TOLLIP/PRKACA/NKIRAS2/MYD88/PTPN6/CSF3R/STAT5A/CXCR1/MUL1/PIAS4/SPATA2/IL17RA/STAT3/PLP2/RELA/AGPAT1/ILK/IFNGR2/LILRA5/IL6R/JAK3/FADD/CPNE1/TYK2/FCER1G/STAT6/NLRP6/IFITM3/CSNK2B/LILRB2/MAPKAPK2/ACTN4/TNIP2/PADI2/EXT1/CEBPA/CD300LF/BAD/TTLL12/GSTP1/TRADD/CXCR2/CSF2RA/RPS6KA4/ULK1/IRF7/IRF1/IL1R2/HSPA1A/LILRA1/SHARPIN/GPR35/IL2RG/OSM/STAT5B/TNFRSF14/NFKBIA/IL1B/MIB2/NOTCH1/IFITM1/LILRB4/CASP4/IL4R/GAS6/ACSL1/IL17RC/CEACAM1/SPHK1/CSF2RB/IL18RAP/PELI3/IL15RA/SLC27A1/SRC/CARD16/ZBP1/MIR27A/SOCS1/NAIP/PF4/OASL/TICAM2/FOSL1/CCRL2/ARG1/KRT8/OAS1/IL18R1/MX1/CCR10/GPR17/PPARG/C1QTNF4/FOXC1/DCST1/LEP,111
GO:0002697,regulation of immune effector process,97/1926,329/12963,5.203723033891458e-12,5.5586169448028555e-9,4.498207742559648e-9,SPI1/WAS/GRN/RARA/TGFB1/RAC2/PYCARD/TNFRSF1B/CFP/TYROBP/VAV1/STXBP2/ARRB2/FUT7/PKN1/NCF1/FES/ITGB2/ZBTB7B/PRAM1/FGR/UNC13D/MYD88/PTPN6/SASH3/HLA-C/JUNB/HLX/TICAM1/ARID5A/HLA-B/HLA-E/PTAFR/PGLYRP1/LITAF/JAK3/FADD/CUEDC2/MAD2L2/CD300A/STAT6/FFAR2/MAPKAPK2/LAMP1/TNFSF13/NLRX1/HLA-A/FCN1/LGALS9/BST2/GAB2/SPHK2/BATF/ITGAM/FFAR3/NECTIN2/IL27/ZC3H12A/STAT5B/ICAM1/TNFRSF14/CLEC4G/IL1B/LILRB4/HLA-F/AGER/IL4R/CARD9/PRKCZ/CEACAM1/IL18RAP/CD59/ADGRE2/CD177/FCGR1A/ASCL2/NCR1/SERPING1/BCL6/C3/MIF/C4BPA/TICAM2/CD55/PGLYRP2/ZP3/TLR9/HLA-G/RBP4/ARG1/DHX58/SLC22A13/IL18R1/SHB/IL4I1/INAVA/LEP,97
GO:0032103,positive regulation of response to external stimulus,130/1926,498/12963,1.926984558569174e-11,1.7153374212196598e-8,1.3881050171026366e-8,SPI1/GRN/TGFB1/GPSM3/CYBA/RAC2/PYCARD/HCK/TYROBP/MAPK3/SIRT2/SLC15A3/TNFRSF1A/LILRA2/VAV1/ARRB2/FLOT1/GPR108/PTK2B/ZDHHC12/NINJ1/MAPKAPK3/CEBPB/LRCH4/MYD88/NLRP12/TICAM1/IL17RA/CD14/RELA/CPTP/HLA-E/MARK4/LILRA5/IL6R/FADD/ALOX5AP/USF1/ADAM8/TNIP1/CD300A/PRKD2/RNF31/NLRP6/C5AR1/FFAR2/MAPKAPK2/LAMP1/NLRX1/UNC93B1/NFKBIL1/TNIP2/MEFV/RNF135/FCN1/LGALS9/CEBPA/DDT/CD300LF/GSDMD/FFAR3/TRADD/NECTIN2/LRSAM1/CXCR2/IRF7/IRF1/LGALS1/NAGK/S100A9/TNFSF14/HSPA1A/HSPB1/IFI35/HYAL2/TLR5/PAK1/OSM/STAT5B/PPM1F/ZNF580/TRIM25/NFKBIA/IL1B/S100A12/CLEC4E/SEC14L1/HLA-F/ZNFX1/AGER/CASP4/ALPK1/NLRC4/GAS6/EMILIN2/AIF1/CARD9/GHRL/IL18RAP/SMPDL3B/FPR2/SRC/DAPK2/TRPV4/C3AR1/ZBP1/FCGR1A/NAIP/C3/OASL/MIF/TICAM2/S100A8/FOSL1/ZP3/TLR9/HLA-G/AZU1/ARG1/DHX58/LTF/SCARF1/OAS1/EMILIN1/LGALS2/INAVA/NTRK3/TREML4/CXCL17/S100A7,130
GO:0031349,positive regulation of defense response,106/1926,393/12963,1.9728493280621788e-10,1.5052840373114424e-7,1.218123209176437e-7,SPI1/GRN/TGFB1/GPSM3/CYBA/PYCARD/HCK/TYROBP/MAPK3/SIRT2/SLC15A3/TNFRSF1A/LILRA2/VAV1/ARRB2/FLOT1/GPR108/ZDHHC12/NINJ1/MAPKAPK3/CEBPB/LRCH4/MYD88/NLRP12/TICAM1/IL17RA/CD14/RELA/CPTP/HLA-E/MARK4/LILRA5/FADD/ALOX5AP/ADAM8/TNIP1/CD300A/RNF31/NLRP6/FFAR2/MAPKAPK2/LAMP1/NLRX1/UNC93B1/NFKBIL1/TNIP2/MEFV/RNF135/FCN1/CEBPA/DDT/CD300LF/GSDMD/FFAR3/TRADD/NECTIN2/LRSAM1/IRF7/IRF1/LGALS1/NAGK/S100A9/HSPA1A/IFI35/HYAL2/TLR5/PAK1/OSM/STAT5B/TRIM25/NFKBIA/IL1B/S100A12/CLEC4E/SEC14L1/HLA-F/ZNFX1/CASP4/ALPK1/NLRC4/EMILIN2/CARD9/IL18RAP/SMPDL3B/FPR2/SRC/TRPV4/ZBP1/FCGR1A/NAIP/C3/OASL/TICAM2/S100A8/FOSL1/ZP3/TLR9/HLA-G/ARG1/DHX58/LTF/OAS1/EMILIN1/LGALS2/INAVA/TREML4,106
GO:0032635,interleukin-6 production,49/1926,135/12963,5.264830641217932e-10,3.124384494971664e-7,2.5283502471158865e-7,TGFB1/CYBA/PYCARD/TYROBP/LILRA2/ARHGEF2/ARRB2/CSK/CEBPB/MYD88/PTPN6/GBA1/NLRP12/TICAM1/ARID5A/IL17RA/HLA-B/STAT3/RELA/ELF4/PTAFR/LILRA5/IL6R/KLF2/SIRPA/LILRB2/MAPKAPK2/NLRX1/UNC93B1/LGALS9/SPHK2/HYAL2/ZC3H12A/C5AR2/IL1B/LILRB4/AGER/ORM1/GAS6/AIF1/CARD9/GHRL/IL17RC/TRPV4/TLR9/BPI/C1QTNF4/INAVA/LEP,49
GO:0032675,regulation of interleukin-6 production,49/1926,135/12963,5.264830641217932e-10,3.124384494971664e-7,2.5283502471158865e-7,TGFB1/CYBA/PYCARD/TYROBP/LILRA2/ARHGEF2/ARRB2/CSK/CEBPB/MYD88/PTPN6/GBA1/NLRP12/TICAM1/ARID5A/IL17RA/HLA-B/STAT3/RELA/ELF4/PTAFR/LILRA5/IL6R/KLF2/SIRPA/LILRB2/MAPKAPK2/NLRX1/UNC93B1/LGALS9/SPHK2/HYAL2/ZC3H12A/C5AR2/IL1B/LILRB4/AGER/ORM1/GAS6/AIF1/CARD9/GHRL/IL17RC/TRPV4/TLR9/BPI/C1QTNF4/INAVA/LEP,49
GO:0001819,positive regulation of cytokine production,108/1926,413/12963,9.280401056877642e-10,4.269089846085805e-7,3.454681837232987e-7,RARA/TGFB1/GPSM3/NFAM1/CYBA/PYCARD/BCL3/TYROBP/LILRA2/AGPAT2/ARHGEF2/FLOT1/ZBTB7B/FGR/CEBPB/MYD88/SASH3/CCDC88B/NLRP12/TICAM1/PIK3CD/ARID5A/IL17RA/STAT3/CD14/RELA/AGPAT1/HLA-E/PTAFR/LILRA5/IL6R/FADD/TYK2/ADAM8/PRKD2/FCER1G/C5AR1/GAPDH/FFAR2/LILRB2/MAPKAPK2/HLA-A/UNC93B1/MEFV/RNF135/HMOX1/FCN1/LGALS9/SLC11A1/DDT/SPHK2/GSDMD/BATF/TNFRSF8/FFAR3/PANX2/IL27/IRF7/IRF1/LTB/HSPA1A/HSPB1/HYAL2/TLR5/OSM/STAT5B/ZNF580/TNFRSF14/IL1B/CLEC4E/HLA-F/AGER/ORM1/NLRC4/IL4R/ALOX15B/MAPK14/AIF1/CARD9/PRKCZ/IL17RC/SPHK1/ORM2/SRC/TRPV4/C3AR1/NAIP/C3/PF4/MIF/TICAM2/CD55/ZP3/TLR9/ELANE/HLA-G/AZU1/CHI3L1/DHX58/OAS1/CLEC5A/IL18R1/H19/ADRA2A/C1QTNF4/INAVA/LEP/CXCL17,108
