ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0042110,T cell activation,95/1131,500/12963,1.5610086653528334e-13,7.150980695981329e-10,6.883226630697915e-10,CLECL1P/HLA-DOA/SLAMF6/IKZF3/CBLB/RORA/GPR183/GPR18/HLA-DQA1/TIGIT/BCL2/CD3G/STAT4/SIT1/DTX1/GLMN/BMI1/GPR89B/TOX/GPR89A/CD3D/CTLA4/THEMIS/CD2/NLRC3/SLAMF1/RASGRP1/TRAC/PRKCQ/CD8A/LY9/TRBC2/CD27/DPP4/TNFSF9/CRTAM/TESPA1/BCL11B/LAX1/EOMES/USP44/ITK/CD28/LCK/ICOS/KLRK1/TRGC1/IL7R/CD160/CD8B/PIK3R3/CD70/CD3E/SIRPG/CAMK4/ADA/TRBC1/CD247/PAWR/GATA3/CCL5/CD40LG/CD6/CD5/IL7/CD1C/HLA-DMB/LEF1/CXADR/IFNG/TBX21/ZAP70/IL23A/HLA-DRA/KLRC1/HLA-DPB1/HLA-DPA1/WNT10B/XCL1/PRDX2/TNFRSF13C/CCR7/ZNF683/CD276/RORC/FZD7/PLA2G2D/CD80/LAG3/HLA-DQB2/GPNMB/VCAM1/IL23R/CAV1/GLI3,95
GO:0050851,antigen receptor-mediated signaling pathway,49/1131,190/12963,2.2017992703230378e-12,5.043221228674918e-9,4.8543879702016866e-9,SH2D1A/CBLB/SLC39A10/SKAP1/BCL2/CD3G/CD3D/CTLA4/THEMIS/CD79B/NFATC2/TRAT1/CD19/TRAC/PLEKHA1/CD8A/TRBC2/FCRL3/TESPA1/LAX1/ITK/CD28/LCK/BTNL9/GCSAM/TRGC1/CD160/CD8B/UBASH3A/CD3E/BANK1/ADA/TRBC1/CD247/BLNK/TRGC2/KCNN4/PAWR/GATA3/MS4A1/CD79A/ZAP70/HLA-DPB1/CCR7/CD276/BLK/IGHD/CD22/IGHG3,49
GO:0002768,immune response-regulating cell surface receptor signaling pathway,63/1131,308/12963,9.729282280522193e-11,1.485661404235739e-7,1.4300338060739465e-7,SH2D1A/CBLB/SLC39A10/SKAP1/PIGR/BCL2/CD3G/CD3D/CTLA4/THEMIS/CD79B/NFATC2/TRAT1/CD19/TRAC/PRKCQ/PLEKHA1/CD8A/TRBC2/FCRL3/TESPA1/BTLA/LAX1/LILRA4/ITK/CD28/LCK/BTNL9/GCSAM/KLRK1/TRGC1/CD160/CD8B/MFHAS1/FCER2/UBASH3A/CD3E/BANK1/ADA/TRBC1/CD247/BLNK/TRGC2/KCNN4/PAWR/GATA3/KLRD1/MS4A1/KLRC4/CD79A/ZAP70/KLRC1/HLA-DPB1/KLRC3/CCR7/CD276/BLK/KLRC2/IGHD/CD22/FCER1A/IGHG3/PAK3,63
GO:0030098,lymphocyte differentiation,70/1131,376/12963,7.129845639980931e-10,8.165455719188161e-7,7.859716680494769e-7,HLA-DOA/SLAMF6/IKZF3/RORA/GPR183/GPR18/MSH2/BCL2/CD3G/STAT4/DTX1/ITM2A/BMI1/GPR89B/TOX/GPR89A/CD3D/CTLA4/THEMIS/CD2/CD79B/SLAMF1/RASGRP1/CD19/CD8A/LY9/CD27/FCRL3/TNFSF9/CRTAM/TESPA1/BCL11B/EOMES/USP44/ITK/CD28/LCK/HDAC9/IL7R/PIK3R3/CD3E/CAMK4/ADA/BLNK/GATA3/CD40LG/IL7/MS4A1/CD79A/LEF1/IFNG/TBX21/ZAP70/IL23A/HLA-DRA/KLRC1/TPD52/WNT10B/PAX5/PRDX2/CCR7/ZNF683/RORC/FZD7/PLA2G2D/CD80/LAG3/VCAM1/IL23R/GLI3,70
GO:0002429,immune response-activating cell surface receptor signaling pathway,57/1131,282/12963,1.2339561761545807e-9,9.529903163267683e-7,9.173075138944227e-7,SH2D1A/CBLB/SLC39A10/SKAP1/BCL2/CD3G/CD3D/CTLA4/THEMIS/CD79B/NFATC2/TRAT1/CD19/TRAC/PLEKHA1/CD8A/TRBC2/FCRL3/TESPA1/LAX1/ITK/CD28/LCK/BTNL9/GCSAM/KLRK1/TRGC1/CD160/CD8B/MFHAS1/UBASH3A/CD3E/BANK1/ADA/TRBC1/CD247/BLNK/TRGC2/KCNN4/PAWR/GATA3/KLRD1/MS4A1/KLRC4/CD79A/ZAP70/KLRC1/HLA-DPB1/KLRC3/CCR7/CD276/BLK/KLRC2/IGHD/CD22/IGHG3/PAK3,57
GO:0051249,regulation of lymphocyte activation,79/1131,452/12963,1.2481863999040842e-9,9.529903163267683e-7,9.173075138944227e-7,CLECL1P/HLA-DOA/IKZF3/THOC1/CBLB/GPR183/HLA-DQA1/SLC39A10/TIGIT/MSH2/BCL2/SIT1/DTX1/GLMN/BMI1/TOX/CTLA4/CD2/NFATC2/SLAMF1/RASGRP1/CD19/PRKCQ/CD27/DPP4/FCRL3/TNFSF9/CRTAM/TESPA1/LAX1/CD28/LCK/ICOS/KLRK1/IL7R/CD160/CD70/CD3E/BANK1/SIRPG/CAMK4/ADA/PAWR/GATA3/CCL5/CD40LG/CD6/CD5/IL7/KLRD1/HLA-DMB/LEF1/IFNG/TBX21/ZAP70/IL23A/HLA-DRA/KLRC1/HLA-DPB1/HLA-DPA1/WNT10B/XCL1/KLRC3/PRDX2/TNFRSF13C/CCR7/ZNF683/CD276/KLRC2/PLA2G2D/CD80/LAG3/HLA-DQB2/CD22/GPNMB/VCAM1/IL23R/CAV1/GLI3,79
GO:1903037,regulation of leukocyte cell-cell adhesion,63/1131,330/12963,1.8450674223089975e-9,1.1053603637697898e-6,1.063972371886545e-6,CLECL1P/HLA-DOA/ZDHHC21/CBLB/HLA-DQA1/CCL28/TIGIT/SKAP1/DTX1/GLMN/BMI1/CTLA4/SLAMF1/RASGRP1/PRKCQ/CD27/DPP4/TNFSF9/CRTAM/TESPA1/LAX1/CD28/LCK/ICOS/KLRK1/IL7R/CD160/CD70/CD3E/SIRPG/ADA/PAWR/GATA3/CCL5/CD40LG/CD6/CD5/IL7/HLA-DMB/LEF1/IFNG/TBX21/ZAP70/IL23A/HLA-DRA/HLA-DPB1/HLA-DPA1/WNT10B/XCL1/PRDX2/TNFRSF13C/CCR7/CD276/ADTRP/PLA2G2D/CD80/LAG3/HLA-DQB2/GPNMB/VCAM1/IL23R/CAV1/GLI3,63
GO:0050863,regulation of T cell activation,64/1131,338/12963,1.9303389893382055e-9,1.1053603637697898e-6,1.063972371886545e-6,CLECL1P/HLA-DOA/CBLB/HLA-DQA1/TIGIT/SIT1/DTX1/GLMN/BMI1/TOX/CTLA4/CD2/SLAMF1/RASGRP1/PRKCQ/CD27/DPP4/TNFSF9/CRTAM/TESPA1/LAX1/CD28/LCK/ICOS/KLRK1/IL7R/CD160/CD70/CD3E/SIRPG/CAMK4/ADA/PAWR/GATA3/CCL5/CD40LG/CD6/CD5/IL7/HLA-DMB/LEF1/IFNG/TBX21/ZAP70/IL23A/HLA-DRA/HLA-DPB1/HLA-DPA1/WNT10B/XCL1/PRDX2/TNFRSF13C/CCR7/ZNF683/CD276/PLA2G2D/CD80/LAG3/HLA-DQB2/GPNMB/VCAM1/IL23R/CAV1/GLI3,64
GO:0030217,T cell differentiation,56/1131,279/12963,2.261170304509238e-9,1.150935684995202e-6,1.1078412170279764e-6,HLA-DOA/SLAMF6/IKZF3/RORA/GPR183/GPR18/BCL2/CD3G/STAT4/DTX1/BMI1/GPR89B/TOX/GPR89A/CD3D/CTLA4/THEMIS/CD2/RASGRP1/CD8A/LY9/CD27/TNFSF9/CRTAM/TESPA1/BCL11B/EOMES/USP44/ITK/CD28/LCK/IL7R/PIK3R3/CD3E/CAMK4/ADA/GATA3/IL7/LEF1/IFNG/TBX21/ZAP70/IL23A/HLA-DRA/KLRC1/WNT10B/PRDX2/CCR7/ZNF683/RORC/FZD7/PLA2G2D/CD80/LAG3/IL23R/GLI3,56
GO:0007159,leukocyte cell-cell adhesion,66/1131,363/12963,5.972923041607286e-9,2.736196045360298e-6,2.633744696978202e-6,CLECL1P/HLA-DOA/ZDHHC21/CBLB/HLA-DQA1/CCL28/TIGIT/SKAP1/DTX1/GLMN/BMI1/CTLA4/SLAMF1/RASGRP1/PRKCQ/CD27/DPP4/TNFSF9/CRTAM/TESPA1/LAX1/CD28/LCK/ICOS/KLRK1/IL7R/CD160/CD70/CD3E/SIRPG/ADA/PAWR/GATA3/CCL5/CD40LG/CD6/CD5/IL7/HLA-DMB/LEF1/IFNG/TBX21/ZAP70/IL23A/HLA-DRA/HLA-DPB1/HLA-DPA1/NT5E/JAM2/WNT10B/XCL1/PRDX2/TNFRSF13C/CCR7/CD276/ADTRP/PLA2G2D/CD80/ADD2/LAG3/HLA-DQB2/GPNMB/VCAM1/IL23R/CAV1/GLI3,66
