ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0030510,regulation of BMP signaling pathway,24/2577,69/12963,0.002661182790925458,0.017504884854664175,0.012094426591105711,SORL1/UBE2D1/NOTCH2/SPART/RBPJ/PPM1A/NOTCH1/UBE2D3/TNFAIP6/FSTL1/SKIL/PCSK6/LEMD3/FZD1/TOB1/FSTL4/SFRP1/PPARG/HTRA1/SFRP2/CDH5/RBPMS2/GREM2/FBN1,24
GO:0033138,positive regulation of peptidyl-serine phosphorylation,24/2577,69/12963,0.002661182790925458,0.017504884854664175,0.012094426591105711,FNIP1/PTGS2/PIK3CA/BRAF/OSM/RAF1/PAK1/TBK1/CD44/TENM1/ATP2B4/APP/LATS1/VEGFA/PINK1/SNCA/ANGPT1/TRIM6/PDCD10/RIPK2/NTRK3/SFRP2/RET/CHRNA7,24
GO:0030834,regulation of actin filament depolymerization,18/2577,47/12963,0.002677093625025111,0.017588147303172263,0.012151954051562473,SVIL/F2RL1/MTPN/PIK3CA/TMOD2/CAPZA2/TMOD3/PLEK/AVIL/WASHC2C/GSN/ADD3/TMOD1/CAPZA1/DMTN/CRACD/EPS8/VIL1,18
GO:0022411,cellular component disassembly,111/2577,438/12963,0.0027037183854139633,0.017741511298462742,0.01225791587868441,PLXNC1/SVIL/IGF1R/IRAK3/LAMP2/CHMP1B/APAF1/VMP1/HK2/APC/HIF1A/VPS4B/NEK6/F2RL1/ASPH/DICER1/GSK3B/SMCR8/LCP1/SYNJ1/MTPN/FRAT2/MAP4K4/TGFBR1/CTSS/WDR47/IQSEC1/NEDD9/TAOK1/EXOC8/ITGAM/PIK3CA/TMOD2/GABARAPL1/ST20/PRKCB/CAPZA2/SETX/CAMKK2/FRAT1/DUSP3/KIF5B/MAP1LC3B/ADAM10/CHMP2B/MICAL2/RB1CC1/TMOD3/SPAST/SNX30/PRKAA1/EPG5/SH3PXD2B/CLASP1/PLEK/AVIL/WASHC2C/WNK1/NFE2/NOD2/FGF13/ATG3/FURIN/MFN2/ADAM8/GSN/PLIN3/TRIM58/FBXL4/ADD3/FLOT1/BNIP3L/MMP9/RUBCNL/PINK1/TMOD1/ULK1/CAPZA1/SMARCD3/GABARAPL2/CHMP5/DNAJC6/ATXN7/FZD5/NCKAP5L/MICAL1/CCSAP/GPER1/FBXO7/ATG9A/MAP1LC3B2/MMP8/DMTN/PLAAT1/CRACD/HPN/CTTN/TSPO/MAP1A/GSPT1/MMP19/ADCY10/FAP/EPS8/ADAMTS5/VIL1/MMP1/C3/DYRK3/SNX7/MMP2,111
GO:2001234,negative regulation of apoptotic signaling pathway,55/2577,194/12963,0.0027126862069097655,0.01777878099486194,0.012283666154159819,LRRK2/CFLAR/HIF1A/PTTG1IP/DDX3X/RRM2B/PSEN1/ITPRIP/PTGS2/NFE2L2/MCL1/MARCHF7/PIK3CB/GSK3B/TGFBR1/IVNS1ABP/IL1B/HGF/TCF7L2/MNT/RAF1/RB1CC1/RFFL/CD44/TMBIM1/CDKN2D/ICAM1/THBS1/IER3/YBX3/CTNNA1/TNFAIP3/PLAUR/HSPA1A/MMP9/PINK1/BID/GRINA/ITGAV/FZD1/RB1/STRADB/GCLM/DNAJA1/FBXO7/SIAH2/BCL2L1/DDIAS/CTTN/CLU/SFRP2/PF4/SNAI1/GATA1/IL10,55
GO:0019216,regulation of lipid metabolic process,67/2577,245/12963,0.0027184330083259616,0.01779487563682624,0.012294786219636596,SORL1/MTMR3/IGF1R/SAMD8/LPGAT1/NR3C1/ASAH1/STAT5B/CNEP1R1/ELOVL5/NCOA2/PIK3CG/PTGS2/ABHD5/IL1B/IRS2/CREB1/ADM/LACTB/PLIN5/PRKCD/PPP2R5A/APPL2/HCAR2/FGR/PRKAA1/HSD17B13/MBOAT7/AVIL/ERLIN1/CEACAM1/ACSL3/NOD2/PDK3/HPGD/KAT2B/ADIPOR1/PDK4/P2RY12/RUBCNL/NFKB1/PDE3B/FLT3/H6PD/SNCA/WDTC1/GPER1/CNR1/BMP2/PPARG/TEK/ANXA1/ABCA2/FLT1/HCAR1/AVPR1A/KIT/PRKCE/PRKG1/TSPO/ABCG1/PDGFRA/C3/SNAI1/SLC22A13/ADRA2A/FGF2,67
GO:0044272,sulfur compound biosynthetic process,39/2577,128/12963,0.0027546493028777893,0.018010143628367843,0.012443518584501082,ACSL1/DSE/SP1/CHST15/ELOVL5/CSAD/CSGALNACT2/ACSL4/CHSY1/TCF7L2/ST3GAL6/PAPSS2/CHST11/PPT1/NDST1/EXTL3/CSGALNACT1/ACSL3/ST3GAL4/ST3GAL2/PDK3/ACSS2/EXT1/PDK4/PXYLP1/B3GNT2/SNCA/ELOVL7/ANGPT1/NDST2/TPK1/NDST3/CBS/CHST13/GGTA1/GGT5/LOC102724560/CDO1/HS3ST3A1,39
GO:0051348,negative regulation of transferase activity,54/2577,190/12963,0.002781030045057603,0.018160663591336303,0.012547515420683235,LYN/SORL1/PTPRC/LATS2/IRAK3/PTEN/CBL/HHEX/SLC8A1/PTPRJ/PRKAR1A/PAK2/GNAQ/APC/DUSP1/SPRY3/HIPK3/PIK3CB/GSK3B/SMCR8/IL1B/RGS2/IRS2/PDPK1/ZFP36/PPM1F/PRKCD/TAF7/PPP2R5A/MIDN/DUSP3/SNX6/CORO1C/GADD45A/SH3BP5/PRKAR2B/LRP6/CEACAM1/LATS1/ADAR/SNCA/RB1/CD300A/DTX3L/DNAJA1/SOCS5/RGS14/CEBPA/BMP2/PPARG/GCKR/CDKN1C/MIR27A/SLC8A3,54
GO:1990868,response to chemokine,25/2577,73/12963,0.0027904917572359137,0.0181785408811742,0.012559867148294556,LYN/RIPOR2/CXCR2/HIF1A/DUSP1/PADI2/DOCK8/CXCR1/SH2B3/CXCL5/CXCL1/OXSR1/WNK1/CCR1/PPBP/CXCL6/FOXC1/PF4V1/MPL/EDN1/GPR17/GPR75/PF4/CXCL3/CCL20,25
GO:1990869,cellular response to chemokine,25/2577,73/12963,0.0027904917572359137,0.0181785408811742,0.012559867148294556,LYN/RIPOR2/CXCR2/HIF1A/DUSP1/PADI2/DOCK8/CXCR1/SH2B3/CXCL5/CXCL1/OXSR1/WNK1/CCR1/PPBP/CXCL6/FOXC1/PF4V1/MPL/EDN1/GPR17/GPR75/PF4/CXCL3/CCL20,25
