ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0032543,mitochondrial translation,91/2948,130/12963,1.4684316249714234e-30,7.804714086723116e-27,7.50291274485399e-27,TRUB2/MRPS16/MRPL2/MRPS18A/TUFM/HARS1/SHMT2/MRPS18B/MRPL37/MRPS27/MRPS7/MRPL10/RCC1L/MRPL9/TACO1/MRPL27/MRPS2/MRPS34/MRPL24/MRPL4/MRPL16/MRPL43/MRPS11/TARS2/TSFM/MRPL11/MRPL20/RPUSD3/UQCC2/C1QBP/MRPL58/MRPL54/MRPS12/MRPL12/MRPL57/GATB/MPV17L2/MRPL14/MRPS15/MRPL34/COA3/EARS2/MRPL52/MRPL39/MRPL55/YARS2/MRPL17/MRPL40/MRPS26/CDK5RAP1/MRPL21/MRPL15/GADD45GIP1/MTG1/MRPL41/MRPL45/MRPS14/RPUSD4/SARS2/MRPS9/WARS2/MRPL48/RMND1/GARS1/MRPS21/MRPL22/AARS2/MRPS23/DARS2/MRPL35/CHCHD1/MRPL19/MRPS33/MRPL36/QRSL1/FASTKD2/MRPL1/MRPL28/MRPL3/MRPL51/MRPL38/PTCD1/MRPL46/MRPS6/MRPL13/MRPL53/MRPL23/MRPL47/MRPS17/MRPS28/MRPS24,91
GO:0140053,mitochondrial gene expression,103/2948,163/12963,1.1954498303187607e-28,3.1769079240721064e-25,3.0540597244038234e-25,TRUB2/MRPS16/HSD17B10/MRPL2/MRPS18A/TUFM/HARS1/SHMT2/MRPS18B/MRPL37/MRPS27/MRPS7/MRPL10/RCC1L/MRPL9/TACO1/MRPL27/MRPS2/MRPS34/MRPL24/MRPL4/ELAC2/MRPL16/MRPL43/MRPS11/TARS2/TSFM/MRPL11/MRPL20/RPUSD3/UQCC2/C1QBP/MRPL58/MRPL54/MRPS12/MRPL12/MRPL57/GATB/MPV17L2/MRPL14/MRPS15/MRPL34/COA3/TBRG4/EARS2/MRPL52/MRPL39/MRPL55/YARS2/MRPL17/MRPL40/MRPS26/CDK5RAP1/MRPL21/PUS1/MRPL15/CHCHD10/GADD45GIP1/MTG1/MRPL41/MRPL45/MRPS14/RPUSD4/FASTK/TFB1M/SARS2/MRPS9/WARS2/MRPL48/SUPV3L1/RMND1/GARS1/MRPS21/POLRMT/MRPL22/AARS2/MRPS23/DARS2/MRPL35/CHCHD1/SLC25A33/MRPL19/MRPS33/MRPL36/QRSL1/FASTKD2/TWNK/MRPL1/MRPL28/MRPL3/MRPL51/FASTKD1/MRPL38/PTCD1/MRPL46/MRPS6/MRPL13/MRPL53/MRPL23/MRPL47/MRPS17/MRPS28/MRPS24,103
GO:0002377,immunoglobulin production,93/2948,169/12963,6.175085662107817e-20,1.0940193431367683e-16,1.0517145896095209e-16,PHB1/PHB2/XBP1/HMCES/IGKV3-15/IGKV1-8/IGKV1-12/MLH1/IGKV1-9/TRAF2/UNG/MZB1/IGLV1-40/IGLV2-14/RNF8/NSD2/IGLV3-21/IGLV1-47/IGLV2-23/IGKV1-5/IGKV3D-15/IGLV1-51/IGKV1D-8/IGLV3-19/IGLV3-9/IGLV2-8/IGKV4-1/IGLV2-11/IGLV7-43/IGKV1D-12/IGKV3-20/IGKV1D-13/DNAJB9/TBX21/IGLV1-36/IGLV7-46/IGKV3D-11/IGKV2-24/IGKV1-27/IGLV1-44/EXO1/IGLV9-49/IGKV1-16/IGLV4-60/IGKV1-13/IGLV8-61/TRAV38-2DV8/IGKV3D-20/IGKV6-21/IGKV2-30/IGLV5-45/IGLV2-18/TRAV2/FOXP3/IGKV2D-24/IGLV4-69/TNFRSF4/TCF3/PARP3/IGKV1-17/ATAD5/TRAV19/IGLV4-3/IGKV3-7/MSH2/IGKV1-6/POLQ/IGKV6D-21/IGKV2D-30/IGKV1D-17/TRAV38-1/CD28/IL6/IGLV5-37/IGKV1-39/IGKV5-2/IGKV2D-29/IGLV3-25/IGLV5-48/IGLV3-16/IGLV3-27/TRAV14DV4/IGLV6-57/IGKV2-29/IGLV3-10/IGLV10-54/IGLV3-12/VPREB3/TRDV1/EPHB2/IGLV3-22/ZPBP2/IGKV1D-39,93
GO:0042254,ribosome biogenesis,137/2948,317/12963,2.0962197735497838e-16,2.7853520241042753e-13,2.6776449423185924e-13,BUD23/IMP4/SNU13/MRPS7/RAN/MRTO4/NHP2/SUV39H1/RRP1/NOC2L/WDR46/UTP4/ERAL1/MRPS2/EXOSC7/PIH1D1/NOB1/MRPL20/LAS1L/MRM3/PES1/WDR74/FBL/GRWD1/ZNF593/RRP36/EXOSC1/GAR1/C1QBP/NOP56/NPM3/RRP9/ERI3/EBNA1BP2/DDX54/SLX9/RPL7A/MRM1/DHX30/MPV17L2/RPP40/PWP1/RBFA/BYSL/PELP1/DDX56/BOP1/NOP16/DDX49/MRM2/RPS15/POP5/EXOSC8/TRMT112/RRP7A/ABT1/RPS5/RPS19/RPLP0/NOC4L/REXO4/RPS16/METTL17/RPUSD2/ERCC2/EXOSC2/WDR18/RPL14/RPUSD4/TSR2/EXOSC10/GEMIN4/IMP3/TFB1M/RPP30/RPP25/RPSA/RPL10/MYBBP1A/FTSJ3/PNO1/RPP38/DDX51/EXOSC5/NLE1/RPL35/GTF3A/EMG1/LYAR/USP36/NPM1/PDCD11/TMA16/UTP14A/TSR1/RPS28/KRI1/DDX28/EIF6/RPS4X/METTL5/BRIX1/NOL6/NOP53/NOL9/DHX37/RPL10A/RPL24/PPAN/TBL3/RPS19BP1/RPS11/NOP14/NOP58/RPS8/TSR3/BMS1/FASTKD2/RPUSD1/DIMT1/FDXACB1/PAK1IP1/RRP1B/NSUN5P1/RPL6/RPL23A/POP7/RPS21/AFG2A/RPS27L/RPS6/EXOSC9/RPL27/RPL26L1/RPLP0P6/RPS27/RPS7,137
GO:0022613,ribonucleoprotein complex biogenesis,178/2948,457/12963,1.71897956496006e-15,1.8272752775525436e-12,1.7566161701718175e-12,EIF3I/BUD23/IMP4/RUVBL2/SNU13/PRPF31/POLR2D/MRPS7/LSM4/RAN/MRTO4/LSM2/NHP2/SUV39H1/SNRPC/RUVBL1/PRPF19/RRP1/NOC2L/WDR46/UTP4/ERAL1/MRPS2/EXOSC7/PIH1D1/NOB1/MRPL20/EIF3K/LAS1L/MRM3/PES1/WDR74/FBL/GRWD1/ZNF593/RRP36/EXOSC1/PUF60/GAR1/C1QBP/NOP56/SNRPF/NPM3/TARBP2/RRP9/ERI3/EBNA1BP2/DDX54/SLX9/RPL7A/MRM1/GEMIN8/DHX30/SF3B5/EIF3G/MPV17L2/RPP40/PWP1/RBFA/BYSL/PELP1/AAR2/EIF3F/DDX56/BOP1/PRMT7/NOP16/DDX49/MRM2/SNRPD2/RPS15/SF3A2/POP5/EXOSC8/SNRPB/TRMT112/RRP7A/ABT1/RPS5/RPS19/RPLP0/NOC4L/REXO4/RPS16/METTL17/RPUSD2/SNRPD3/ERCC2/EXOSC2/WDR18/RPL14/SNRPA1/TXNL4A/RPUSD4/TSR2/EXOSC10/GEMIN4/IMP3/TFB1M/RPP30/RPP25/RPSA/YJU2/EIF2D/RPL10/MYBBP1A/FTSJ3/PNO1/RPP38/DDX51/DDX1/EXOSC5/NLE1/RPL35/GTF3A/EMG1/LYAR/USP36/NPM1/RPL13A/PDCD11/TMA16/UTP14A/SF3B3/TSR1/RPS28/WDR77/KRI1/DDX28/EIF6/RPS4X/METTL5/BRIX1/NOL6/NOP53/NOPCHAP1/NOL9/DHX37/RPL10A/RPL24/PPAN/TBL3/RPS19BP1/RPS11/NOP14/NOP58/RPS8/TSR3/BMS1/FASTKD2/RPUSD1/EIF3C/DIMT1/SNRPD1/FDXACB1/PAK1IP1/RRP1B/SNRPG/NSUN5P1/RPL6/EIF3B/RPL23A/POP7/RPS21/AFG2A/GCFC2/GEMIN2/TSSC4/SNRPE/RPS27L/RPS6/EXOSC9/RPL27/WEE2-AS1/RPL26L1/RPLP0P6/RPS27/RPS7,178
GO:0016072,rRNA metabolic process,114/2948,258/12963,1.1132996638598786e-14,9.861979522358759e-12,9.480625558554125e-12,SMARCB1/BUD23/IMP4/SNU13/MRTO4/NHP2/SUV39H1/RRP1/WDR46/UTP4/EXOSC7/PIH1D1/NOB1/LAS1L/MRM3/PES1/WDR74/FBL/RRP36/EXOSC1/GAR1/NOP56/NPM3/RRP9/ERI3/EBNA1BP2/DDX54/SLX9/RPL7A/MRM1/RPP40/PWP1/RBFA/BYSL/PELP1/GTF3C5/DDX56/BOP1/DDX49/MRM2/RPS15/POP5/EXOSC8/TRMT112/RRP7A/ABT1/RPS19/NOC4L/REXO4/RPS16/RPUSD2/ERCC2/EXOSC2/WDR18/RPL14/SMARCA4/RPUSD4/TSR2/EXOSC10/GEMIN4/IMP3/TFB1M/RPP30/RPP25/POLR1E/TCOF1/GTF3C6/FTSJ3/RPP38/DDX51/EXOSC5/RPL35/GTF3A/EMG1/TP53/LYAR/USP36/PDCD11/UTP14A/TSR1/RPS28/KRI1/EIF6/POLR1G/NCL/METTL5/BRIX1/NOL6/NOP53/NOL9/DHX37/RPL10A/PPAN/TBL3/NOP14/NOP58/RPS8/TSR3/BMS1/RPUSD1/DIMT1/FDXACB1/RRP1B/BRF1/NSUN5P1/POP7/RPS21/DDX11/RPS6/EXOSC9/RPL27/MACROH2A2/RPS27/RPS7,114
GO:0006261,DNA-templated DNA replication,80/2948,158/12963,1.322612951362366e-14,1.0042411194987109e-11,9.654080099117182e-12,ALYREF/MCM5/MCM7/POLD2/PCNA/POLE3/MCM3/PRIM2/RFC4/FEN1/HMGA1/TRAIP/POLA2/LIG1/CENPX/ENDOG/MCM6/NUCKS1/MCM8/DNAJA3/GINS3/GMNN/TONSL/PRIM1/GINS4/POLD1/TK1/MCM4/PARP1/RFC5/WDR18/DONSON/ZPR1/RRM1/TIMELESS/POLE2/DBF4/GINS2/NUGGC/RFC3/RECQL4/POLRMT/ORC5/TIPIN/MCM2/GINS1/CDT1/POLA1/BLM/EME1/CDC45/CDC6/ORC1/CCNE1/FBXO5/CDK2/POLE/ORC6/POLN/CHTF18/DSCC1/ZRANB3/CDC7/TWNK/SSBP1/GEN1/MMS22L/TICRR/WDHD1/RAD51/DDX11/RAD50/MCM10/ATAD5/CENPS/E2F8/POLQ/E2F7/DBF4B/CCNE2,80
GO:0006364,rRNA processing,101/2948,220/12963,1.8694106921346847e-14,1.2419897285869811e-11,1.1939630920554947e-11,BUD23/IMP4/SNU13/MRTO4/NHP2/SUV39H1/RRP1/WDR46/UTP4/EXOSC7/PIH1D1/NOB1/LAS1L/MRM3/PES1/WDR74/FBL/RRP36/EXOSC1/GAR1/NOP56/NPM3/RRP9/ERI3/EBNA1BP2/DDX54/SLX9/RPL7A/MRM1/RPP40/PWP1/RBFA/BYSL/PELP1/DDX56/BOP1/DDX49/MRM2/RPS15/POP5/EXOSC8/TRMT112/RRP7A/ABT1/RPS19/NOC4L/REXO4/RPS16/RPUSD2/ERCC2/EXOSC2/WDR18/RPL14/RPUSD4/TSR2/EXOSC10/GEMIN4/IMP3/TFB1M/RPP30/RPP25/FTSJ3/RPP38/DDX51/EXOSC5/RPL35/EMG1/LYAR/USP36/PDCD11/UTP14A/TSR1/RPS28/KRI1/EIF6/METTL5/BRIX1/NOL6/NOP53/NOL9/DHX37/RPL10A/PPAN/TBL3/NOP14/NOP58/RPS8/TSR3/BMS1/RPUSD1/DIMT1/FDXACB1/RRP1B/NSUN5P1/POP7/RPS21/RPS6/EXOSC9/RPL27/RPS27/RPS7,101
GO:0034470,ncRNA processing,160/2948,416/12963,1.701368906617616e-13,1.0047528598525143e-10,9.658999617218606e-11,FTSJ1/TRUB2/BUD23/IMP4/HSD17B10/ELP6/SNU13/KTI12/MRTO4/NHP2/SUV39H1/RRP1/ELP5/WDR46/FARS2/UTP4/URM1/ELAC2/EXOSC7/PIH1D1/NOB1/LAS1L/MRM3/TOE1/PES1/WDR74/FBL/RNF113A/INTS14/RRP36/EXOSC1/GAR1/NOP56/NPM3/TARBP2/RRP9/ERI3/EBNA1BP2/DDX54/SLX9/RPL7A/MRM1/ANKRD16/FAM98A/RPP40/PWP1/METTL1/SRRT/RBFA/BYSL/DUS1L/PELP1/SPOUT1/INTS7/DDX56/AARS1/BOP1/THG1L/METTL2B/WDR4/DDX49/MRM2/RPS15/CTU2/POP5/TUT1/EXOSC8/INTS5/TRMT112/RRP7A/METTL2A/ABT1/RPS19/NOC4L/REXO4/RPS16/CDK5RAP1/RPUSD2/PUS1/QTRT1/ERCC2/LAGE3/EXOSC2/WDR18/RPL14/RPUSD4/TSR2/TRMU/EXOSC10/GEMIN4/TRMT2A/IMP3/TFB1M/RPP30/RPP25/DUS3L/ELAC1/ELP4/FTSJ3/RPP38/DDX51/DDX1/EXOSC5/RPL35/EMG1/TP53/LYAR/USP36/PDCD11/UTP14A/TSEN54/TSR1/TRMT1/RPS28/KRI1/TRMT61A/EIF6/TSEN15/METTL5/BRIX1/NOL6/NOP53/NOL9/WDR6/DHX37/RPL10A/PPAN/TBL3/FAM98B/NOP14/TRPT1/DGCR8/NOP58/RPS8/TSR3/LCMT2/BMS1/RPUSD1/RPP25L/DIMT1/FDXACB1/RRP1B/GTPBP3/NSUN5P1/OSGEPL1/RTCB/PTCD1/POP7/PUSL1/RPS21/ADAT3/RPS6/EXOSC9/RPL27/GPAT2/TERT/IL6/RPS27/RPS7/HOXB-AS3,160
GO:0006260,DNA replication,112/2948,266/12963,9.803722966994854e-13,5.210678756957765e-10,5.009186450715054e-10,ALYREF/RUVBL2/MCM5/MCM7/POLD2/RUVBL1/PCNA/POLE3/MCM3/PRIM2/RFC4/FEN1/SSRP1/HMGA1/GRWD1/RBBP7/CHAF1A/TRAIP/POLA2/LIG1/RPA3/CENPX/ENDOG/MCM6/NUCKS1/MCM8/CHAF1B/DNAJA3/GINS3/GMNN/TONSL/PRIM1/GINS4/POLD1/TK1/MCM4/PARP1/RFC5/RNASEH1/PIF1/WDR18/FAF1/DONSON/ZPR1/ACTL6A/RRM1/TIMELESS/POLE2/DBF4/GINS2/MCRS1/DUT/NUGGC/TFPT/RFC3/ACTR5/RECQL4/POLRMT/ORC5/TIPIN/MCM2/GINS1/CDT1/POLA1/TP53/BLM/EHMT2/PCLAF/EME1/CDC45/CHEK1/CDC6/ORC1/CCNE1/RRM2/FBXO5/CDK2/POLE/CCNA2/BCAR3/POLH/ORC6/POLN/CHTF18/DSCC1/ZRANB3/CDC7/ESCO2/TWNK/DTL/FAM111B/SSBP1/GEN1/MMS22L/RNASEH2A/TICRR/WDHD1/RAD51/DDX11/RAD50/MCM10/CDK1/ATAD5/CENPS/E2F8/POLQ/E2F7/DBF4B/TSPYL2/CCNE2/ID3/ENPP7,112
