"Ensembl","EnsemblBase","SYMBOL","GENENAME","ENTREZID","baseMean","log2FoldChange","lfcSE","pvalue","padj","Comparison","Direction","AbsoluteLFC"
"ENSG00000112473","ENSG00000112473","SLC39A7","solute carrier family 39 member 7","7922",362.450266020694,1.7319096089955,0.100028311115256,6.79903485858129e-68,1.28760122151813e-63,"Cluster 4 vs Cluster 1","Upregulated",1.7319096089955
"ENSG00000166794","ENSG00000166794","PPIB","peptidylprolyl isomerase B","5479",1693.90896808729,2.61017749147335,0.152492009312583,6.11022640545576e-67,5.78577338332606e-63,"Cluster 4 vs Cluster 1","Upregulated",2.61017749147335
"ENSG00000049656","ENSG00000049656","CLPTM1L","CLPTM1 like","81037",522.120549713678,1.79500711438812,0.106284273418626,4.28194357417018e-65,2.70304824692117e-61,"Cluster 4 vs Cluster 1","Upregulated",1.79500711438812
"ENSG00000185624","ENSG00000185624","P4HB","prolyl 4-hydroxylase subunit beta","5034",2189.31346412745,1.86701339470249,0.114636580100815,1.17349855175462e-60,5.55592889328226e-57,"Cluster 4 vs Cluster 1","Upregulated",1.86701339470249
"ENSG00000153066","ENSG00000153066","TXNDC11","thioredoxin domain containing 11","51061",370.802934988565,2.55383768346333,0.158338029010731,1.04082129718771e-59,3.94221474522818e-56,"Cluster 4 vs Cluster 1","Upregulated",2.55383768346333
"ENSG00000244038","ENSG00000244038","DDOST","dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit","1650",798.972794614046,1.83335789370414,0.114517226489788,2.32488015796467e-58,7.33809673858916e-55,"Cluster 4 vs Cluster 1","Upregulated",1.83335789370414
"ENSG00000119777","ENSG00000119777","TMEM214","transmembrane protein 214","54867",241.575028649428,1.80814847258237,0.117641965384783,4.76399893540776e-54,1.28886588341075e-50,"Cluster 4 vs Cluster 1","Upregulated",1.80814847258237
"ENSG00000058262","ENSG00000058262","SEC61A1","SEC61 translocon subunit alpha 1","29927",1065.40781916396,1.56305145818272,0.102114216343586,1.50586775719246e-53,3.56476544821385e-50,"Cluster 4 vs Cluster 1","Upregulated",1.56305145818272
"ENSG00000157020","ENSG00000157020","SEC13","SEC13 homolog, nuclear pore and COPII coat complex component","6396",417.275706465439,1.58669583448785,0.104654041737692,8.10679439496538e-53,1.70584969168727e-49,"Cluster 4 vs Cluster 1","Upregulated",1.58669583448785
"ENSG00000110063","ENSG00000110063","DCPS","decapping enzyme, scavenger","28960",105.412042802769,2.32102944837006,0.1547891320106,8.0640896914148e-52,1.52717730576014e-48,"Cluster 4 vs Cluster 1","Upregulated",2.32102944837006
"ENSG00000074842","ENSG00000074842","MYDGF","myeloid derived growth factor","56005",254.342757741113,3.08025155550836,0.208293675846253,2.05476020235471e-50,3.53754988292668e-47,"Cluster 4 vs Cluster 1","Upregulated",3.08025155550836
"ENSG00000144591","ENSG00000144591","GMPPA","GDP-mannose pyrophosphorylase A","29926",168.480354459311,2.06108216451867,0.142358970487431,2.21293278038403e-48,3.49237674957607e-45,"Cluster 4 vs Cluster 1","Upregulated",2.06108216451867
"ENSG00000183684","ENSG00000183684","ALYREF","Aly/REF export factor","10189",182.267772249388,1.84066047808093,0.127079139597818,2.68656588253451e-48,3.91370651411066e-45,"Cluster 4 vs Cluster 1","Upregulated",1.84066047808093
"ENSG00000106803","ENSG00000106803","SEC61B","SEC61 translocon subunit beta","10952",374.620517277355,1.97638176243289,0.139028214265268,8.85385379216101e-47,1.19767345082818e-43,"Cluster 4 vs Cluster 1","Upregulated",1.97638176243289
"ENSG00000118705","ENSG00000118705","RPN2","ribophorin II","6185",989.854320538192,1.7107285174732,0.121152226969107,4.23311363922598e-46,5.34444707331078e-43,"Cluster 4 vs Cluster 1","Upregulated",1.7107285174732
"ENSG00000173540","ENSG00000173540","GMPPB","GDP-mannose pyrophosphorylase B","29925",93.8119176920454,2.39694894625124,0.170919982366254,1.60348025014672e-45,1.89791931107992e-42,"Cluster 4 vs Cluster 1","Upregulated",2.39694894625124
"ENSG00000211945","ENSG00000211945","IGHV1-18","immunoglobulin heavy variable 1-18","28468",315.668159052348,6.9549889483283,0.496023799063734,2.05761000569889e-45,2.29217754634856e-42,"Cluster 4 vs Cluster 1","Upregulated",6.9549889483283
"ENSG00000180879","ENSG00000180879","SSR4","signal sequence receptor subunit 4","6748",505.980160564678,2.31633675884629,0.167334699660518,2.03304373795719e-44,2.13898790607963e-41,"Cluster 4 vs Cluster 1","Upregulated",2.31633675884629
"ENSG00000123136","ENSG00000123136","DDX39A","DExD-box helicase 39A","10212",257.816087592058,1.69598132840073,0.122563294338961,2.68299872436852e-44,2.54053149210455e-41,"Cluster 4 vs Cluster 1","Upregulated",1.69598132840073
"ENSG00000121073","ENSG00000121073","SLC35B1","solute carrier family 35 member B1","10237",179.250816134608,1.52710711195363,0.110437168327904,2.66555711747002e-44,2.54053149210455e-41,"Cluster 4 vs Cluster 1","Upregulated",1.52710711195363
"ENSG00000138073","ENSG00000138073","PREB","prolactin regulatory element binding","10113",308.541075237637,1.57891914934551,0.114127058196843,4.43397716438392e-44,3.99860283519537e-41,"Cluster 4 vs Cluster 1","Upregulated",1.57891914934551
"ENSG00000182054","ENSG00000182054","IDH2","isocitrate dehydrogenase (NADP(+)) 2","3418",527.391012274929,2.25877662395965,0.164435052528013,8.27233396391623e-44,7.12097548221116e-41,"Cluster 4 vs Cluster 1","Upregulated",2.25877662395965
"ENSG00000173486","ENSG00000173486","FKBP2","FKBP prolyl isomerase 2","2286",120.158525879964,2.20158835638491,0.163433151428003,2.59078970505835e-42,2.13323371453891e-39,"Cluster 4 vs Cluster 1","Upregulated",2.20158835638491
"ENSG00000065485","ENSG00000065485","PDIA5","protein disulfide isomerase family A member 5","10954",47.14554879933,2.96466175330155,0.220704499284811,4.55433004654109e-42,3.5937459342248e-39,"Cluster 4 vs Cluster 1","Upregulated",2.96466175330155
"ENSG00000114902","ENSG00000114902","SPCS1","signal peptidase complex subunit 1","28972",471.929062408972,1.45320045390286,0.107771076230188,5.01755191431264e-42,3.80089592613011e-39,"Cluster 4 vs Cluster 1","Upregulated",1.45320045390286
"ENSG00000184164","ENSG00000184164","CRELD2","cysteine rich with EGF like domains 2","79174",144.016385157632,2.17036484085619,0.163328367823218,4.22805773313671e-41,3.07965220577473e-38,"Cluster 4 vs Cluster 1","Upregulated",2.17036484085619
"ENSG00000011478","ENSG00000011478","QPCTL","glutaminyl-peptide cyclotransferase like","54814",24.7298647133756,3.16778387437481,0.239397296988044,1.31552526847205e-40,9.22719167937912e-38,"Cluster 4 vs Cluster 1","Upregulated",3.16778387437481
"ENSG00000096080","ENSG00000096080","MRPS18A","mitochondrial ribosomal protein S18A","55168",107.054086604574,1.81931777977726,0.13984132670997,1.42608703839082e-39,9.6454415475162e-37,"Cluster 4 vs Cluster 1","Upregulated",1.81931777977726
"ENSG00000107175","ENSG00000107175","CREB3","cAMP responsive element binding protein 3","10488",125.887099491599,1.49581281849434,0.115234888327218,2.97924049751689e-39,1.94554677730948e-36,"Cluster 4 vs Cluster 1","Upregulated",1.49581281849434
"ENSG00000105438","ENSG00000105438","KDELR1","KDEL endoplasmic reticulum protein retention receptor 1","10945",417.736759731914,1.43948773492367,0.111139101260928,4.33474255624262e-39,2.73637848433742e-36,"Cluster 4 vs Cluster 1","Upregulated",1.43948773492367
"ENSG00000155660","ENSG00000155660","PDIA4","protein disulfide isomerase family A member 4","9601",660.103320264083,2.61812162309507,0.202718911948584,5.27377462301544e-39,3.22176592937633e-36,"Cluster 4 vs Cluster 1","Upregulated",2.61812162309507
"ENSG00000135916","ENSG00000135916","ITM2C","integral membrane protein 2C","81618",378.540001528649,4.45891017306491,0.348708413612406,3.02718497666959e-38,1.79152590900527e-35,"Cluster 4 vs Cluster 1","Upregulated",4.45891017306491
"ENSG00000163902","ENSG00000163902","RPN1","ribophorin I","6184",1831.95258280184,1.26808997701556,0.0990291753193847,3.13990211011156e-38,1.80192321700887e-35,"Cluster 4 vs Cluster 1","Upregulated",1.26808997701556
