"Ensembl","EnsemblBase","SYMBOL","GENENAME","ENTREZID","baseMean","log2FoldChange","lfcSE","pvalue","padj","Comparison","Direction","AbsoluteLFC"
"ENSG00000136040","ENSG00000136040","PLXNC1","plexin C1","10154",5948.28908982455,-3.36426375556605,0.156686030331997,6.43447887625445e-104,1.21856160958507e-99,"Cluster 4 vs Cluster 2","Downregulated",3.36426375556605
"ENSG00000133812","ENSG00000133812","SBF2","SET binding factor 2","81846",473.082976994779,-2.52832172235862,0.11831392444656,8.52159690923333e-103,8.06910011335304e-99,"Cluster 4 vs Cluster 2","Downregulated",2.52832172235862
"ENSG00000174125","ENSG00000174125","TLR1","toll like receptor 1","7096",1918.89192736592,-3.25590764070735,0.154184204638606,2.81627664153152e-100,1.7778215679108e-96,"Cluster 4 vs Cluster 2","Downregulated",3.25590764070735
"ENSG00000174130","ENSG00000174130","TLR6","toll like receptor 6","10333",1195.29918485047,-3.15345372298703,0.150572906594186,3.6701794119787e-99,1.73764644260131e-95,"Cluster 4 vs Cluster 2","Downregulated",3.15345372298703
"ENSG00000110063","ENSG00000110063","DCPS","decapping enzyme, scavenger","28960",105.412042802769,2.70762959340217,0.130337679173233,2.77803908103915e-96,8.76841735278656e-93,"Cluster 4 vs Cluster 2","Upregulated",2.70762959340217
"ENSG00000049656","ENSG00000049656","CLPTM1L","CLPTM1 like","81037",522.120549713678,1.87987275589558,0.090336466324346,2.51771742013677e-96,8.76841735278656e-93,"Cluster 4 vs Cluster 2","Upregulated",1.87987275589558
"ENSG00000244038","ENSG00000244038","DDOST","dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit","1650",798.972794614046,2.02194680086645,0.0974759832077155,5.6113716672365e-96,1.51811652334464e-92,"Cluster 4 vs Cluster 2","Upregulated",2.02194680086645
"ENSG00000136869","ENSG00000136869","TLR4","toll like receptor 4","7099",4350.10930642358,-3.66566691059939,0.178247723404853,8.43198009568229e-96,1.99606048815039e-92,"Cluster 4 vs Cluster 2","Downregulated",3.66566691059939
"ENSG00000105835","ENSG00000105835","NAMPT","nicotinamide phosphoribosyltransferase","10135",23730.0360702564,-4.23199605141928,0.20613667442549,1.14174528970729e-95,2.40248581071963e-92,"Cluster 4 vs Cluster 2","Downregulated",4.23199605141928
"ENSG00000133961","ENSG00000133961","NUMB","NUMB endocytic adaptor protein","8650",3094.3655242922,-2.64524302455403,0.128607173968329,2.43723555806619e-95,4.61563669986575e-92,"Cluster 4 vs Cluster 2","Downregulated",2.64524302455403
"ENSG00000132334","ENSG00000132334","PTPRE","protein tyrosine phosphatase receptor type E","5791",2056.37396404829,-2.04438004869293,0.0996857491246371,1.01871640785503e-94,1.75385921199623e-91,"Cluster 4 vs Cluster 2","Downregulated",2.04438004869293
"ENSG00000101916","ENSG00000101916","TLR8","toll like receptor 8","51311",2982.18240263306,-3.61914467472584,0.178990853213272,2.20239369625307e-93,3.47574431830339e-90,"Cluster 4 vs Cluster 2","Downregulated",3.61914467472584
"ENSG00000111052","ENSG00000111052","LIN7A","lin-7 homolog A, crumbs cell polarity complex component","8825",730.850463998141,-3.68148966670409,0.181931882947242,2.12551716892015e-92,3.09638801115459e-89,"Cluster 4 vs Cluster 2","Downregulated",3.68148966670409
"ENSG00000123136","ENSG00000123136","DDX39A","DExD-box helicase 39A","10212",257.816087592058,2.1095744219048,0.103918354945465,5.19999907016345e-92,7.0341130279111e-89,"Cluster 4 vs Cluster 2","Upregulated",2.1095744219048
"ENSG00000166794","ENSG00000166794","PPIB","peptidylprolyl isomerase B","5479",1693.90896808729,2.61176787927162,0.129741053030341,1.30059901240466e-90,1.6420496064613e-87,"Cluster 4 vs Cluster 2","Upregulated",2.61176787927162
"ENSG00000166900","ENSG00000166900","STX3","syntaxin 3","6809",2378.97889721318,-3.04544450878138,0.15247398945558,2.82657774359575e-90,3.34560808176352e-87,"Cluster 4 vs Cluster 2","Downregulated",3.04544450878138
"ENSG00000152234","ENSG00000152234","ATP5F1A","ATP synthase F1 subunit alpha","498",1701.00884564224,1.60807182340796,0.0810829640710265,7.17862325419449e-88,7.99698630517266e-85,"Cluster 4 vs Cluster 2","Upregulated",1.60807182340796
"ENSG00000163625","ENSG00000163625","WDFY3","WD repeat and FYVE domain containing 3","23001",1708.20333886013,-3.8211226949209,0.194809456085314,1.87023445545988e-87,1.96769445097218e-84,"Cluster 4 vs Cluster 2","Downregulated",3.8211226949209
"ENSG00000146592","ENSG00000146592","CREB5","cAMP responsive element binding protein 5","9586",3414.43826090576,-3.50341207055644,0.180899055796555,3.15208282301215e-85,3.14179707906338e-82,"Cluster 4 vs Cluster 2","Downregulated",3.50341207055644
"ENSG00000254087","ENSG00000254087","LYN","LYN proto-oncogene, Src family tyrosine kinase","4067",8338.08764134156,-2.77187382941038,0.143603668331684,6.92935006466201e-85,6.56140157622845e-82,"Cluster 4 vs Cluster 2","Downregulated",2.77187382941038
"ENSG00000182054","ENSG00000182054","IDH2","isocitrate dehydrogenase (NADP(+)) 2","3418",527.391012274929,2.7141223904784,0.139856118077677,1.93391115947418e-84,1.74401950181533e-81,"Cluster 4 vs Cluster 2","Upregulated",2.7141223904784
"ENSG00000143622","ENSG00000143622","RIT1","Ras like without CAAX 1","6016",759.627215715427,-2.26801230029222,0.117876125943753,3.81623287111113e-84,3.28508264150467e-81,"Cluster 4 vs Cluster 2","Downregulated",2.26801230029222
"ENSG00000153066","ENSG00000153066","TXNDC11","thioredoxin domain containing 11","51061",370.802934988565,2.60629521154488,0.134428775842029,4.13899435418857e-84,3.40801195998361e-81,"Cluster 4 vs Cluster 2","Upregulated",2.60629521154488
"ENSG00000142230","ENSG00000142230","SAE1","SUMO1 activating enzyme subunit 1","10055",252.725873778569,1.73306249920953,0.0893922507017094,4.58038553428389e-84,3.61430588534452e-81,"Cluster 4 vs Cluster 2","Upregulated",1.73306249920953
"ENSG00000183684","ENSG00000183684","ALYREF","Aly/REF export factor","10189",182.267772249388,2.07134465628948,0.107333259345166,1.87345059133453e-83,1.41917629194774e-80,"Cluster 4 vs Cluster 2","Upregulated",2.07134465628948
"ENSG00000130150","ENSG00000130150","MOSPD2","motile sperm domain containing 2","158747",766.967581845914,-2.5581109902714,0.133070335744529,3.45378727873888e-83,2.5156855186445e-80,"Cluster 4 vs Cluster 2","Downregulated",2.5581109902714
"ENSG00000143797","ENSG00000143797","MBOAT2","membrane bound O-acyltransferase domain containing 2","129642",839.041493593322,-3.36973733693528,0.177040486151655,9.94890997284892e-83,6.97823915058566e-80,"Cluster 4 vs Cluster 2","Downregulated",3.36973733693528
"ENSG00000106780","ENSG00000106780","MEGF9","multiple EGF like domains 9","1955",4277.03283930896,-3.06911680720512,0.161122886465302,1.96155856435848e-82,1.32671414613646e-79,"Cluster 4 vs Cluster 2","Downregulated",3.06911680720512
"ENSG00000197321","ENSG00000197321","SVIL","supervillin","6840",1172.68380752469,-2.93649380139617,0.153589329473029,2.15982300330544e-82,1.41043889781374e-79,"Cluster 4 vs Cluster 2","Downregulated",2.93649380139617
"ENSG00000139946","ENSG00000139946","PELI2","pellino E3 ubiquitin protein ligase family member 2","57161",496.626610094628,-2.45008504094895,0.128758521862474,6.81469297858353e-82,4.30188852094716e-79,"Cluster 4 vs Cluster 2","Downregulated",2.45008504094895
"ENSG00000137575","ENSG00000137575","SDCBP","syndecan binding protein","6386",9882.4016280121,-3.20676704261414,0.169208153376069,9.85814243455797e-82,6.02237101373093e-79,"Cluster 4 vs Cluster 2","Downregulated",3.20676704261414
"ENSG00000180879","ENSG00000180879","SSR4","signal sequence receptor subunit 4","6748",505.980160564678,2.71071024297034,0.142471172154331,2.29301105523877e-81,1.35703260512849e-78,"Cluster 4 vs Cluster 2","Upregulated",2.71071024297034
"ENSG00000137177","ENSG00000137177","KIF13A","kinesin family member 13A","63971",583.959026988632,-2.54646398796362,0.134312559766166,3.01546627069368e-81,1.73051212831506e-78,"Cluster 4 vs Cluster 2","Downregulated",2.54646398796362
"ENSG00000138678","ENSG00000138678","GPAT3","glycerol-3-phosphate acyltransferase 3","84803",710.062055857493,-3.07638299338835,0.164516802719369,3.52010675022567e-80,1.9606994598757e-77,"Cluster 4 vs Cluster 2","Downregulated",3.07638299338835
"ENSG00000184014","ENSG00000184014","DENND5A","DENN domain containing 5A","23258",2344.76633876694,-2.69705767319107,0.14396486851068,6.0764729168295e-80,3.19656233608103e-77,"Cluster 4 vs Cluster 2","Downregulated",2.69705767319107
"ENSG00000073921","ENSG00000073921","PICALM","phosphatidylinositol binding clathrin assembly protein","8301",4870.05508565161,-2.20735851832523,0.117431862887506,6.05275767538581e-80,3.19656233608103e-77,"Cluster 4 vs Cluster 2","Downregulated",2.20735851832523
"ENSG00000257743","ENSG00000257743","MGAM2","maltase-glucoamylase 2 (putative)","93432",295.793805212903,-5.20671483579785,0.278418061124636,9.85948904213035e-80,5.04645955350985e-77,"Cluster 4 vs Cluster 2","Downregulated",5.20671483579785
"ENSG00000175538","ENSG00000175538","KCNE3","potassium voltage-gated channel subfamily E regulatory subunit 3","10008",1180.38813691896,-2.24433269323436,0.119216530045953,1.22336181979909e-79,6.09684898509345e-77,"Cluster 4 vs Cluster 2","Downregulated",2.24433269323436
"ENSG00000127947","ENSG00000127947","PTPN12","protein tyrosine phosphatase non-receptor type 12","5782",1402.34247636432,-2.54601794796826,0.135976763184102,1.67138396225788e-79,8.11606909672812e-77,"Cluster 4 vs Cluster 2","Downregulated",2.54601794796826
"ENSG00000153317","ENSG00000153317","ASAP1","ArfGAP with SH3 domain, ankyrin repeat and PH domain 1","50807",1618.349875902,-2.49356501184014,0.132720028683078,2.75409865470871e-79,1.30392800807184e-76,"Cluster 4 vs Cluster 2","Downregulated",2.49356501184014
"ENSG00000141298","ENSG00000141298","SSH2","slingshot protein phosphatase 2","85464",4074.16069775229,-2.67779743074337,0.143286090020089,3.01440916315529e-79,1.3923629446789e-76,"Cluster 4 vs Cluster 2","Downregulated",2.67779743074337
"ENSG00000134698","ENSG00000134698","AGO4","argonaute RISC component 4","192670",1861.44458616156,-2.50251348598108,0.134468806065949,1.53931667638051e-78,6.94085219459383e-76,"Cluster 4 vs Cluster 2","Downregulated",2.50251348598108
"ENSG00000068438","ENSG00000068438","FTSJ1","FtsJ RNA 2'-O-methyltransferase 1","24140",121.652898888868,1.70789654859461,0.0915256599098644,1.60368002271473e-78,7.06290517910966e-76,"Cluster 4 vs Cluster 2","Upregulated",1.70789654859461
"ENSG00000188895","ENSG00000188895","MSL1","MSL complex subunit 1","339287",4025.37854880731,-2.48757467764894,0.134253333563092,2.02771441312098e-78,8.72746717174661e-76,"Cluster 4 vs Cluster 2","Downregulated",2.48757467764894
"ENSG00000170832","ENSG00000170832","USP32","ubiquitin specific peptidase 32","84669",1212.66475506384,-2.6661683380747,0.143707360183698,2.37330626681079e-78,9.98792757352505e-76,"Cluster 4 vs Cluster 2","Downregulated",2.6661683380747
"ENSG00000168461","ENSG00000168461","RAB31","RAB31, member RAS oncogene family","11031",3002.85390688906,-2.6129532844794,0.140725022226269,2.66552897740468e-78,1.09738669074108e-75,"Cluster 4 vs Cluster 2","Downregulated",2.6129532844794
"ENSG00000119777","ENSG00000119777","TMEM214","transmembrane protein 214","54867",241.575028649428,1.85739781018704,0.0994308290860792,2.77527620706435e-78,1.11825916615712e-75,"Cluster 4 vs Cluster 2","Upregulated",1.85739781018704
"ENSG00000171049","ENSG00000171049","FPR2","formyl peptide receptor 2","2358",3595.90496513579,-3.48375198173986,0.188380055474168,7.37271835446636e-78,2.90884458743508e-75,"Cluster 4 vs Cluster 2","Downregulated",3.48375198173986
"ENSG00000076685","ENSG00000076685","NT5C2","5'-nucleotidase, cytosolic II","22978",1944.36258870058,-2.13821571849342,0.115529835374529,8.3277952762724e-78,3.21860789677646e-75,"Cluster 4 vs Cluster 2","Downregulated",2.13821571849342
"ENSG00000131389","ENSG00000131389","SLC6A6","solute carrier family 6 member 6","6533",3985.47883165724,-2.82348912681854,0.152738820578871,9.52765841624267e-78,3.60869590173607e-75,"Cluster 4 vs Cluster 2","Downregulated",2.82348912681854
"ENSG00000100030","ENSG00000100030","MAPK1","mitogen-activated protein kinase 1","5594",2558.58356150034,-2.06956762361164,0.111666545405627,1.44175440890548e-77,5.353714705069e-75,"Cluster 4 vs Cluster 2","Downregulated",2.06956762361164
"ENSG00000138449","ENSG00000138449","SLC40A1","solute carrier family 40 member 1","30061",1441.35962138621,-3.16274295287132,0.171292967222867,1.69209473465228e-77,6.16247886247018e-75,"Cluster 4 vs Cluster 2","Downregulated",3.16274295287132
"ENSG00000086475","ENSG00000086475","SEPHS1","selenophosphate synthetase 1","22929",122.654719905873,1.82374129179131,0.0981848920543911,1.87816466380038e-77,6.71107215151916e-75,"Cluster 4 vs Cluster 2","Upregulated",1.82374129179131
"ENSG00000137642","ENSG00000137642","SORL1","sortilin related receptor 1","6653",12161.938848196,-3.31773484806988,0.180993894191916,9.91655450301592e-77,3.47777239218733e-74,"Cluster 4 vs Cluster 2","Downregulated",3.31773484806988
