"Ensembl","EnsemblBase","SYMBOL","GENENAME","ENTREZID","baseMean","log2FoldChange","lfcSE","pvalue","padj","Comparison","Direction","AbsoluteLFC"
"ENSG00000110063","ENSG00000110063","DCPS","decapping enzyme, scavenger","28960",105.412042802769,2.70762959340217,0.130337679173233,2.77803908103915e-96,8.76841735278656e-93,"Cluster 4 vs Cluster 2","Upregulated",2.70762959340217
"ENSG00000049656","ENSG00000049656","CLPTM1L","CLPTM1 like","81037",522.120549713678,1.87987275589558,0.090336466324346,2.51771742013677e-96,8.76841735278656e-93,"Cluster 4 vs Cluster 2","Upregulated",1.87987275589558
"ENSG00000244038","ENSG00000244038","DDOST","dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit","1650",798.972794614046,2.02194680086645,0.0974759832077155,5.6113716672365e-96,1.51811652334464e-92,"Cluster 4 vs Cluster 2","Upregulated",2.02194680086645
"ENSG00000123136","ENSG00000123136","DDX39A","DExD-box helicase 39A","10212",257.816087592058,2.1095744219048,0.103918354945465,5.19999907016345e-92,7.0341130279111e-89,"Cluster 4 vs Cluster 2","Upregulated",2.1095744219048
"ENSG00000166794","ENSG00000166794","PPIB","peptidylprolyl isomerase B","5479",1693.90896808729,2.61176787927162,0.129741053030341,1.30059901240466e-90,1.6420496064613e-87,"Cluster 4 vs Cluster 2","Upregulated",2.61176787927162
"ENSG00000152234","ENSG00000152234","ATP5F1A","ATP synthase F1 subunit alpha","498",1701.00884564224,1.60807182340796,0.0810829640710265,7.17862325419449e-88,7.99698630517266e-85,"Cluster 4 vs Cluster 2","Upregulated",1.60807182340796
"ENSG00000182054","ENSG00000182054","IDH2","isocitrate dehydrogenase (NADP(+)) 2","3418",527.391012274929,2.7141223904784,0.139856118077677,1.93391115947418e-84,1.74401950181533e-81,"Cluster 4 vs Cluster 2","Upregulated",2.7141223904784
"ENSG00000153066","ENSG00000153066","TXNDC11","thioredoxin domain containing 11","51061",370.802934988565,2.60629521154488,0.134428775842029,4.13899435418857e-84,3.40801195998361e-81,"Cluster 4 vs Cluster 2","Upregulated",2.60629521154488
"ENSG00000142230","ENSG00000142230","SAE1","SUMO1 activating enzyme subunit 1","10055",252.725873778569,1.73306249920953,0.0893922507017094,4.58038553428389e-84,3.61430588534452e-81,"Cluster 4 vs Cluster 2","Upregulated",1.73306249920953
"ENSG00000183684","ENSG00000183684","ALYREF","Aly/REF export factor","10189",182.267772249388,2.07134465628948,0.107333259345166,1.87345059133453e-83,1.41917629194774e-80,"Cluster 4 vs Cluster 2","Upregulated",2.07134465628948
"ENSG00000180879","ENSG00000180879","SSR4","signal sequence receptor subunit 4","6748",505.980160564678,2.71071024297034,0.142471172154331,2.29301105523877e-81,1.35703260512849e-78,"Cluster 4 vs Cluster 2","Upregulated",2.71071024297034
"ENSG00000068438","ENSG00000068438","FTSJ1","FtsJ RNA 2'-O-methyltransferase 1","24140",121.652898888868,1.70789654859461,0.0915256599098644,1.60368002271473e-78,7.06290517910966e-76,"Cluster 4 vs Cluster 2","Upregulated",1.70789654859461
"ENSG00000119777","ENSG00000119777","TMEM214","transmembrane protein 214","54867",241.575028649428,1.85739781018704,0.0994308290860792,2.77527620706435e-78,1.11825916615712e-75,"Cluster 4 vs Cluster 2","Upregulated",1.85739781018704
"ENSG00000086475","ENSG00000086475","SEPHS1","selenophosphate synthetase 1","22929",122.654719905873,1.82374129179131,0.0981848920543911,1.87816466380038e-77,6.71107215151916e-75,"Cluster 4 vs Cluster 2","Upregulated",1.82374129179131
"ENSG00000178741","ENSG00000178741","COX5A","cytochrome c oxidase subunit 5A","9377",288.316302888808,1.99365328290309,0.108189759712659,1.70936381426876e-76,5.48676812112234e-74,"Cluster 4 vs Cluster 2","Upregulated",1.99365328290309
"ENSG00000114902","ENSG00000114902","SPCS1","signal peptidase complex subunit 1","28972",471.929062408972,1.6858689015775,0.0914595717733353,2.83082376411719e-76,8.78854761391004e-74,"Cluster 4 vs Cluster 2","Upregulated",1.6858689015775
"ENSG00000118705","ENSG00000118705","RPN2","ribophorin II","6185",989.854320538192,1.89326262226914,0.103135611650196,1.24412407415814e-75,3.80019705103336e-73,"Cluster 4 vs Cluster 2","Upregulated",1.89326262226914
"ENSG00000167130","ENSG00000167130","DOLPP1","dolichyldiphosphatase 1","57171",51.8277203682542,1.72870867874769,0.0942528646380996,2.73424460939016e-75,8.219226097243e-73,"Cluster 4 vs Cluster 2","Upregulated",1.72870867874769
"ENSG00000005022","ENSG00000005022","SLC25A5","solute carrier family 25 member 5","292",644.675612934988,1.65776486514581,0.0903053098884026,3.80400918870499e-75,1.12563009399524e-72,"Cluster 4 vs Cluster 2","Upregulated",1.65776486514581
"ENSG00000126457","ENSG00000126457","PRMT1","protein arginine methyltransferase 1","3276",234.580389179442,2.36612089189951,0.130103991047552,2.40761185199976e-74,6.70519900781934e-72,"Cluster 4 vs Cluster 2","Upregulated",2.36612089189951
"ENSG00000084623","ENSG00000084623","EIF3I","eukaryotic translation initiation factor 3 subunit I","8668",498.081427325723,1.73168092518906,0.095075930665931,2.84323840908513e-74,7.8036592740948e-72,"Cluster 4 vs Cluster 2","Upregulated",1.73168092518906
"ENSG00000167112","ENSG00000167112","TRUB2","TruB pseudouridine synthase family member 2","26995",71.7467097177367,1.99847641252015,0.110696335663118,2.81232714165089e-73,7.29587005597048e-71,"Cluster 4 vs Cluster 2","Upregulated",1.99847641252015
"ENSG00000131871","ENSG00000131871","SELENOS","selenoprotein S","55829",153.773592618521,1.91010028129858,0.10604760356638,5.76730794106915e-73,1.43712207615747e-70,"Cluster 4 vs Cluster 2","Upregulated",1.91010028129858
"ENSG00000182180","ENSG00000182180","MRPS16","mitochondrial ribosomal protein S16","51021",194.09678991181,1.33530714997626,0.07379221926706,1.67867124997382e-72,4.02743498509602e-70,"Cluster 4 vs Cluster 2","Upregulated",1.33530714997626
"ENSG00000058262","ENSG00000058262","SEC61A1","SEC61 translocon subunit alpha 1","29927",1065.40781916396,1.5456303638444,0.0869509836221779,5.26150665972645e-71,1.11957767552696e-68,"Cluster 4 vs Cluster 2","Upregulated",1.5456303638444
"ENSG00000154518","ENSG00000154518","ATP5MC3","ATP synthase membrane subunit c locus 3","518",335.437526221037,1.89072293652863,0.10697631576775,2.80595580765971e-70,5.42236643729179e-68,"Cluster 4 vs Cluster 2","Upregulated",1.89072293652863
"ENSG00000139579","ENSG00000139579","NABP2","nucleic acid binding protein 2","79035",91.1565563730503,2.19613732143481,0.124279408955801,3.03127196219454e-70,5.75041196024006e-68,"Cluster 4 vs Cluster 2","Upregulated",2.19613732143481
"ENSG00000099901","ENSG00000099901","RANBP1","RAN binding protein 1","5902",194.96028203109,2.28607773528864,0.129468427173656,3.55129629478069e-70,6.65885635946107e-68,"Cluster 4 vs Cluster 2","Upregulated",2.28607773528864
"ENSG00000074842","ENSG00000074842","MYDGF","myeloid derived growth factor","56005",254.342757741113,3.11931441655035,0.17668112454502,4.29951667174426e-70,7.82925449322046e-68,"Cluster 4 vs Cluster 2","Upregulated",3.11931441655035
"ENSG00000173540","ENSG00000173540","GMPPB","GDP-mannose pyrophosphorylase B","29925",93.8119176920454,2.5353850876945,0.143922558553854,9.72898117138879e-70,1.69034353599781e-67,"Cluster 4 vs Cluster 2","Upregulated",2.5353850876945
"ENSG00000149480","ENSG00000149480","MTA2","metastasis associated 1 family member 2","9219",742.160943691343,1.38135840124143,0.0776163020406773,1.24533675228441e-69,2.14401703770565e-67,"Cluster 4 vs Cluster 2","Upregulated",1.38135840124143
"ENSG00000144591","ENSG00000144591","GMPPA","GDP-mannose pyrophosphorylase A","29926",168.480354459311,2.09453102579089,0.119769357205228,1.28630706634903e-69,2.19460209211873e-67,"Cluster 4 vs Cluster 2","Upregulated",2.09453102579089
"ENSG00000011478","ENSG00000011478","QPCTL","glutaminyl-peptide cyclotransferase like","54814",24.7298647133756,3.50333320667041,0.198734504328053,1.47350563858847e-69,2.49154015924896e-67,"Cluster 4 vs Cluster 2","Upregulated",3.50333320667041
"ENSG00000154930","ENSG00000154930","ACSS1","acyl-CoA synthetase short chain family member 1","84532",298.781929769098,1.8704221181877,0.106678877897596,2.32701569222017e-69,3.86570378765488e-67,"Cluster 4 vs Cluster 2","Upregulated",1.8704221181877
"ENSG00000137133","ENSG00000137133","HINT2","histidine triad nucleotide binding protein 2","84681",41.2372417883146,2.60660502813581,0.149003494797076,6.10278144470211e-69,9.87816025639047e-67,"Cluster 4 vs Cluster 2","Upregulated",2.60660502813581
