"Ensembl","EnsemblBase","SYMBOL","GENENAME","ENTREZID","baseMean","log2FoldChange","lfcSE","pvalue","padj","Comparison","Direction","AbsoluteLFC"
"ENSG00000108510","ENSG00000108510","MED13","mediator complex subunit 13","9969",667.777925891049,-1.30988356251657,0.0623665857415625,1.5866185001369e-98,3.75592264444908e-95,"Cluster 3 vs Cluster 2","Downregulated",1.30988356251657
"ENSG00000039319","ENSG00000039319","ZFYVE16","zinc finger FYVE-type containing 16","9765",582.925757284518,-1.49114164941225,0.0735554555696131,2.34135031033288e-92,2.9560328118056e-89,"Cluster 3 vs Cluster 2","Downregulated",1.49114164941225
"ENSG00000152520","ENSG00000152520","PAN3","poly(A) specific ribonuclease subunit PAN3","255967",682.000191969263,-1.20981922688073,0.0602835300829254,1.9553260004545e-90,1.48119855186429e-87,"Cluster 3 vs Cluster 2","Downregulated",1.20981922688073
"ENSG00000162601","ENSG00000162601","MYSM1","Myb like, SWIRM and MPN domains 1","114803",269.007372907326,-1.54372319764658,0.0772682069396051,9.6268767826023e-90,6.07712641696408e-87,"Cluster 3 vs Cluster 2","Downregulated",1.54372319764658
"ENSG00000061987","ENSG00000061987","MON2","MON2 homolog, regulator of endosome-to-Golgi trafficking","23041",386.833007966313,-1.02398856975104,0.0515191633317058,1.13413485926679e-88,6.31713116611602e-86,"Cluster 3 vs Cluster 2","Downregulated",1.02398856975104
"ENSG00000072364","ENSG00000072364","AFF4","ALF transcription elongation factor 4","27125",493.422209689637,-1.09882376518497,0.0553453675543525,2.15725358684891e-88,1.07510706388801e-85,"Cluster 3 vs Cluster 2","Downregulated",1.09882376518497
"ENSG00000112851","ENSG00000112851","ERBIN","erbb2 interacting protein","55914",1214.1135942922,-1.39884245740699,0.0707278670529222,8.76484334064448e-88,3.95210959964584e-85,"Cluster 3 vs Cluster 2","Downregulated",1.39884245740699
"ENSG00000144357","ENSG00000144357","UBR3","ubiquitin protein ligase E3 component n-recognin 3","130507",238.265336327168,-1.05230830791644,0.053652844531456,6.41981864362127e-87,2.70174501050888e-84,"Cluster 3 vs Cluster 2","Downregulated",1.05230830791644
"ENSG00000075292","ENSG00000075292","ZNF638","zinc finger protein 638","27332",797.492075850192,-1.02588428030188,0.0522257253100018,9.56201667810419e-87,3.93664069238994e-84,"Cluster 3 vs Cluster 2","Downregulated",1.02588428030188
"ENSG00000144747","ENSG00000144747","TMF1","TATA element modulatory factor 1","7110",525.192248730267,-1.00680119634257,0.0511890743642449,4.31324356825159e-86,1.57085012876055e-83,"Cluster 3 vs Cluster 2","Downregulated",1.00680119634257
"ENSG00000029363","ENSG00000029363","BCLAF1","BCL2 associated transcription factor 1","9774",922.23825812782,-1.00677728920945,0.0514080483620327,1.60836450866749e-85,5.64059390095276e-83,"Cluster 3 vs Cluster 2","Downregulated",1.00677728920945
"ENSG00000144228","ENSG00000144228","SPOPL","speckle type BTB/POZ protein like","339745",700.217443202353,-1.47487646760248,0.0757295679322815,1.75328556656971e-85,6.03704037449041e-83,"Cluster 3 vs Cluster 2","Downregulated",1.47487646760248
"ENSG00000136051","ENSG00000136051","WASHC4","WASH complex subunit 4","23325",1017.22330768713,-1.48237320396425,0.0761533093438536,2.02829977617256e-85,6.85927520734928e-83,"Cluster 3 vs Cluster 2","Downregulated",1.48237320396425
"ENSG00000116406","ENSG00000116406","EDEM3","ER degradation enhancing alpha-mannosidase like protein 3","80267",555.205138666879,-1.60559015842895,0.0841095185368213,2.95382914795845e-82,8.10719078319379e-80,"Cluster 3 vs Cluster 2","Downregulated",1.60559015842895
"ENSG00000114331","ENSG00000114331","ACAP2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2","23527",1862.49177783124,-1.17946488471999,0.0619005112639864,4.11007092233083e-82,1.11195033038716e-79,"Cluster 3 vs Cluster 2","Downregulated",1.17946488471999
"ENSG00000138593","ENSG00000138593","SECISBP2L","SECIS binding protein 2 like","9728",277.425224508284,-1.26521948873322,0.0664835899388871,1.38158526230254e-81,3.68513545035007e-79,"Cluster 3 vs Cluster 2","Downregulated",1.26521948873322
"ENSG00000172845","ENSG00000172845","SP3","Sp3 transcription factor","6670",1116.70036228128,-1.42217706088334,0.0746751485360417,2.16126394375473e-81,5.68472452317044e-79,"Cluster 3 vs Cluster 2","Downregulated",1.42217706088334
"ENSG00000177853","ENSG00000177853","ZNF518A","zinc finger protein 518A","9849",284.046091500868,-1.50056824515906,0.0790487895552298,2.87700692700575e-81,7.26463429115131e-79,"Cluster 3 vs Cluster 2","Downregulated",1.50056824515906
"ENSG00000179454","ENSG00000179454","KLHL28","kelch like family member 28","54813",145.922980006607,-1.39637433668198,0.0734931548874241,3.48495669229706e-81,8.57118309593788e-79,"Cluster 3 vs Cluster 2","Downregulated",1.39637433668198
"ENSG00000071537","ENSG00000071537","SEL1L","SEL1L adaptor subunit of SYVN1 ubiquitin ligase","6400",1105.46494983759,-1.19561672251248,0.0631375789875842,7.29583645101852e-81,1.72710688386736e-78,"Cluster 3 vs Cluster 2","Downregulated",1.19561672251248
"ENSG00000119778","ENSG00000119778","ATAD2B","ATPase family AAA domain containing 2B","54454",191.818703853991,-1.10252585459786,0.0580566817142368,9.63941538811392e-81,2.22623473926953e-78,"Cluster 3 vs Cluster 2","Downregulated",1.10252585459786
"ENSG00000134982","ENSG00000134982","APC","APC regulator of WNT signaling pathway","324",400.056793132184,-1.26056275273495,0.0669360051239599,6.17599927441465e-80,1.31416937369511e-77,"Cluster 3 vs Cluster 2","Downregulated",1.26056275273495
"ENSG00000134313","ENSG00000134313","KIDINS220","kinase D interacting substrate 220","57498",898.528846333049,-1.0572356757594,0.0562192837039313,1.01608338747224e-79,2.12835445360034e-77,"Cluster 3 vs Cluster 2","Downregulated",1.0572356757594
"ENSG00000095574","ENSG00000095574","IKZF5","IKAROS family zinc finger 5","64376",176.880413694558,-1.17758062589917,0.0625702783244969,1.17758896481436e-79,2.37246593783556e-77,"Cluster 3 vs Cluster 2","Downregulated",1.17758062589917
"ENSG00000021574","ENSG00000021574","SPAST","spastin","6683",331.555715863706,-1.0363157139455,0.0551036891906939,1.17229389474274e-79,2.37246593783556e-77,"Cluster 3 vs Cluster 2","Downregulated",1.0363157139455
"ENSG00000077458","ENSG00000077458","FAM76B","family with sequence similarity 76 member B","143684",170.803231782718,-1.52582137978479,0.0812560033653904,1.3250438804407e-79,2.64144010608274e-77,"Cluster 3 vs Cluster 2","Downregulated",1.52582137978479
"ENSG00000176853","ENSG00000176853","FAM91A1","family with sequence similarity 91 member A1","157769",584.596888257677,-1.15289993502777,0.0610970134683999,1.35902379500927e-79,2.68095756561308e-77,"Cluster 3 vs Cluster 2","Downregulated",1.15289993502777
"ENSG00000140396","ENSG00000140396","NCOA2","nuclear receptor coactivator 2","10499",811.63024024389,-1.28273727368653,0.0684608611987235,2.83289371300906e-79,5.36493411369656e-77,"Cluster 3 vs Cluster 2","Downregulated",1.28273727368653
"ENSG00000176018","ENSG00000176018","LYSMD3","LysM domain containing 3","116068",240.445924395063,-1.46819313778636,0.0786351838607552,8.60460635872006e-79,1.53730221907019e-76,"Cluster 3 vs Cluster 2","Downregulated",1.46819313778636
