ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0009152,purine ribonucleotide biosynthetic process,39/1627,190/12963,0.0012062709954179106,0.03644973080130265,0.03517844202870622,ATP5F1A/ATP5MC3/NDUFB4/NDUFB11/TECR/NDUFS8/ACSS1/NDUFA8/ATP5MC1/NDUFB10/NDUFV1/ATP5F1D/NDUFS7/STOML2/NDUFS3/ATP5MC2/NDUFS6/NME1/NDUFB7/SPHK2/GCDH/NDUFB9/NDUFAB1/NUDT2/PAICS/ATP5MF/ADA/NDUFA3/SLC25A1/ACOT7/MTHFD1/APRT/DNAJC30/UQCC3/NDUFB8/NDUFA11/ANTKMT/AMPD1/H19,39
GO:0009069,serine family amino acid metabolic process,11/1627,32/12963,0.0012207968949629095,0.03666776781517338,0.035388874377147314,SEPHS1/SHMT2/PHGDH/SHMT1/DHFR/MTHFD1/GLDC/PSPH/PSAT1/SDS/AMT,11
GO:0009199,ribonucleoside triphosphate metabolic process,33/1627,154/12963,0.0013153040484765888,0.03927122087594387,0.03790152455478592,ATP5F1A/ATP5MC3/NDUFB4/NDUFB11/NDUFS8/NDUFA8/ATP5MC1/NDUFB10/NDUFV1/ATP5F1D/NDUFS7/STOML2/NDUFS3/ATP5MC2/NDUFS6/NME1/UCK2/NDUFB7/SPHK2/ITPA/CTPS1/NDUFB9/NDUFAB1/NUDT2/ATP5MF/NDUFA3/DNAJC30/UQCC3/NDUFB8/NDUFA11/ANTKMT/BAD/H19,33
GO:0000387,spliceosomal snRNP assembly,12/1627,37/12963,0.001325753833602531,0.03934900135710234,0.03797659221886042,SNRPB/LSM2/LSM4/PRPF31/PRPF19/SNRPC/GEMIN7/TSSC4/SART1/GEMIN4/SNRPF/SNRPD2,12
GO:0032527,protein exit from endoplasmic reticulum,13/1627,42/12963,0.001376173906242136,0.04060522537476797,0.03918900182543396,SEC13/SEC61B/PREB/SELENOS/HM13/RANGRF/AUP1/HSP90B1/ERLEC1/DERL3/CD81/EDEM2/SYVN1,13
GO:0009260,ribonucleotide biosynthetic process,41/1627,204/12963,0.0014056445043257538,0.04123223879355545,0.039794146355150155,ATP5F1A/ATP5MC3/NDUFB4/NDUFB11/TECR/NDUFS8/ACSS1/NDUFA8/ATP5MC1/NDUFB10/NDUFV1/ATP5F1D/NDUFS7/STOML2/NDUFS3/ATP5MC2/NDUFS6/NME1/UCK2/NDUFB7/SPHK2/GCDH/CTPS1/NDUFB9/NDUFAB1/NUDT2/PAICS/ATP5MF/ADA/NDUFA3/SLC25A1/ACOT7/MTHFD1/APRT/DNAJC30/UQCC3/NDUFB8/NDUFA11/ANTKMT/AMPD1/H19,41
GO:0044839,cell cycle G2/M phase transition,31/1627,143/12963,0.0014914365598201033,0.04349445223289324,0.04197745862064049,NABP2/AURKB/PLK1/AVEN/PKMYT1/CDK4/CDC6/CDC25C/CLSPN/FOXM1/DONSON/KDM8/CCNB1/CCNB2/ORC1/ATF5/DBF4B/CDC25B/CDC25A/AURKA/PINX1/TICRR/CHEK1/CCNA2/DTL/MELK/FBXL15/NDC80/CDK1/CENPF/KIF14,31
GO:0034502,protein localization to chromosome,25/1627,108/12963,0.001591020517854255,0.04613039836738117,0.04452146858297364,RUVBL2/WRAP53/CCT7/NABP2/AURKB/PLK1/PIAS4/TONSL/ACD/EZH2/HASPIN/SIRT6/MCM8/PINX1/CENPA/H4C3/TERT/SGF29/ESCO2/ESR1/H4C11/CDK1/BUB1B/TTK/KNL1,25
GO:0006958,"complement activation, classical pathway",11/1627,33/12963,0.001626189050823825,0.04687910505133509,0.045244061976641096,IGHG1/IGHA1/IGHG4/IGHA2/IGHE/IGHG3/C1R/IGHM/C1QC/SERPING1/C4B,11
GO:0030261,chromosome condensation,12/1627,38/12963,0.0017194982065433478,0.04928573145155104,0.04756675038732546,NCAPH2/AIFM1/PLK1/CDCA5/NUSAP1/H1-10/NCAPH/TOP2A/CDK1/NCAPG/H1-3/H1-4,12
