ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006261,DNA-templated DNA replication,81/2026,158/12963,1.1083178168992692e-25,5.543805720130145e-22,5.395757792799074e-22,DONSON/RFC4/DBF4/PRIM2/PCNA/NUCKS1/MCM7/MCM8/RFC5/FEN1/RFC3/MCM3/MMS22L/GMNN/MCM6/GEN1/GINS4/RRM1/FBXO5/GINS3/CDC7/BLM/TIPIN/GINS1/MCM4/RFC1/PRIM1/POLE2/POLA1/ALYREF/TRAIP/MCM5/CDK2/ORC6/CDC6/ZRANB3/NUGGC/ATAD5/PARP1/LIG1/DNA2/TIMELESS/DSCC1/WDHD1/EME1/ASF1A/FANCM/CCNE2/GINS2/CCNE1/MCM2/DNAJA3/ORC1/ORC5/POLA2/BARD1/CDC45/POLN/POLQ/BRCA2/HMGA1/ETAA1/RECQL4/RBBP8/TK1/MCM10/POLD2/TONSL/E2F7/E2F8/CDT1/POLE/NOC3L/CENPS/TICRR/WRN/POLD1/CENPX/CHTF18/RAD51/DDX11,81
GO:0007059,chromosome segregation,138/2026,381/12963,1.3845688098914016e-23,3.462806593538395e-20,3.370331971446175e-20,DSN1/FIRRM/BUB3/RAN/CENPH/MAD2L1/NDC1/ZWILCH/NUP37/KNTC1/SPDL1/GEN1/MIS18A/CENPL/FBXO5/SMC4/CENPO/TUBB/KIF22/CENPN/RACGAP1/CENPU/ITGB3BP/HAUS1/SMC2/SLC25A5/SKA2/SMARCB1/RAD18/ACTL6A/AURKB/MLH1/CDC6/BRIP1/ZWINT/NUSAP1/CENPJ/SPAG5/SETDB2/KIF11/ESCO2/CENPI/CHEK2/NCAPD3/UBE2C/CDCA8/CCNB1IP1/SGO1/SGO2/CENPP/BUB1/PLK1/MZT1/NCAPG2/HAUS5/SASS6/PTTG1/CCNE2/CCNB1/NDC80/KNL1/TRIP13/FANCD2/CCNE1/NUF2/TUBGCP5/DMC1/CENPK/NCAPH/BIRC5/XRCC3/SPICE1/CCNB2/KIF18A/SKA1/TOP2A/HASPIN/NCAPG/DLGAP5/AURKA/CENPM/KIFC1/CDCA5/KIF2C/SPC24/MYBL2/ECT2/SEH1L/STIL/BUB1B/SPC25/TENT4A/MKI67/NCAPH2/CDCA2/KIF23/CENPW/CDK1/ESPL1/KIF14/HJURP/SKA3/PINX1/ASPM/CENPF/PHF10/HAUS6/TPX2/OIP5/CENPE/TTK/CDC20/TUBG1/BCL7A/DCAF13/PSMC3IP/MND1/CDT1/PRC1/KIF18B/CENPS/KIF4A/NEK2/CENPQ/FAM83D/SMARCAD1/INCENP/CENPX/TEX14/MAP9/CEP97/SYCE2/GOLGA8A/SEPTIN1/GOLGA8B/DPF3/STAG3/SYCE1L,138
GO:0002377,immunoglobulin production,81/2026,169/12963,3.357289367241338e-23,5.597720471647057e-20,5.448232745084627e-20,XBP1/IGKV1-12/DNAJB9/NSD2/IGKV1-8/IGKV1-9/IGKV3-15/IGLV3-21/IGLV2-14/MLH1/IGLV1-47/ATAD5/IGKV1-27/HMCES/IGKV3D-15/IGLV1-40/IGLV2-23/IGLV3-19/MZB1/IGKV1D-13/IGKV1D-8/IGKV1-5/EXO1/IGLV3-9/UNG/IGLV1-51/IGKV1D-12/MSH2/POLQ/IGKV4-1/IGKV3-20/IGLV7-43/IGLV2-8/IGKV1-13/IGKV2-24/SHLD2/IGLV9-49/IGKV1D-17/IGLV1-44/IGLV1-36/IGKV1-16/IGKV2-30/IL6/IGLV3-25/IGKV2D-24/IGLV7-46/IGLV5-45/IGKV2D-30/IGKV5-2/IGLV4-69/CD28/IGKV6-21/IGKV6D-21/IGKV1-17/IGKV2D-29/IGKV3-7/IGKV3D-20/IGLV4-3/IGLV3-10/IGLV6-57/IGLV3-27/IGLV8-61/IGKV2-29/IGLV2-18/IGKV1-6/TBX21/IGLV4-60/IGLV2-11/IGLV5-48/TRAV38-2DV8/IGLV3-16/IGKV1-39/TRAV19/TRAV2/IGKV3D-11/TRAV38-1/IGLV5-37/IGLV3-12/ZPBP2/IGLV3-22/IGLV10-54,81
GO:0006260,DNA replication,107/2026,266/12963,1.4020734722387738e-22,1.7532928770345866e-19,1.7064710023958762e-19,DONSON/RFC4/DBF4/PRIM2/PCNA/NUCKS1/MCM7/MCM8/RBBP4/RAD17/RFC5/FEN1/RFC3/MCM3/MMS22L/GMNN/MCM6/GEN1/RBBP7/GINS4/RRM1/RPA3/FBXO5/GINS3/CDC7/BLM/TIPIN/GINS1/MCM4/RFC1/PRIM1/POLE2/POLA1/ALYREF/DUT/CHAF1B/TRAIP/MCM5/CDK2/CHEK1/CHAF1A/ORC6/SSRP1/ACTL6A/CDC6/ZRANB3/NUGGC/ATAD5/PARP1/UCHL5/LIG1/DNA2/TIMELESS/RUVBL1/CCNA2/ESCO2/PCLAF/DSCC1/WDHD1/RRM2/EME1/PIF1/ASF1A/FANCM/CCNE2/GINS2/FAM111B/CCNE1/MCM2/DNAJA3/ORC1/ORC5/BCAR3/POLA2/RNASEH1/BARD1/DTL/CDC45/POLN/CDK1/POLQ/BRCA2/HMGA1/ETAA1/RECQL4/RBBP8/GRWD1/TK1/MCM10/POLD2/TONSL/E2F7/E2F8/CDT1/POLE/NOC3L/CENPS/TICRR/ZBTB38/WRN/POLD1/CENPX/CHTF18/RAD51/RNASEH2A/DDX11/ENPP7,107
GO:0000280,nuclear division,129/2026,369/12963,1.4799498183387613e-20,1.4805417982660967e-17,1.4410037704877413e-17,DSN1/BUB3/RAN/MAD2L1/NDC1/RANBP1/ZWILCH/KNTC1/SPDL1/GEN1/FBXO5/SMC4/KIF22/RACGAP1/BORA/SMC2/CHEK1/AURKB/MLH1/BRIP1/ZWINT/NUSAP1/SPAG5/KIF11/CKS2/MTBP/CENPI/CHEK2/NCAPD3/RAD1/UBE2C/CDCA8/CCNB1IP1/SGO1/CDC25C/TOP6BL/BUB1/EME1/PLK1/MZT1/NCAPG2/FANCM/RAD51D/PTTG1/CCNE2/RAD51C/CCNB1/RAD51AP1/NDC80/KNL1/TRIP13/FANCD2/CCNE1/NUF2/DMC1/CENPK/NCAPH/BIRC5/XRCC3/SPICE1/CCNB2/PSMA8/KIF18A/TOP2A/HASPIN/NCAPG/DLGAP5/AURKA/KIFC1/CDCA5/CDC25B/KIF2C/SPC24/MYBL2/SEH1L/BUB1B/SPC25/FIGNL1/TENT4A/MKI67/RAD54L/NCAPH2/CDCA2/KIF23/CDK1/ESPL1/BRCA2/KIF14/PINX1/ASPM/IGF1/CENPF/TPX2/CENPE/TTK/CDC20/TUBG1/DCAF13/KIF20B/PKMYT1/PSMC3IP/MND1/CDT1/PRC1/KIF18B/CENPS/KIF4A/NEK2/CALR/FBXO43/MEI1/INCENP/CENPX/TEX14/RAD54B/CD28/ANLN/MAP9/CEP97/SYCE2/SEPTIN1/MASTL/RAD51/ZNF541/STAG3/SYCE1L/BRME1/TDRD12/WNT4,129
GO:0048285,organelle fission,139/2026,412/12963,1.8637836013418082e-20,1.5537742623186207e-17,1.512280553720327e-17,DSN1/BUB3/RAN/MAD2L1/NDC1/RANBP1/ZWILCH/KNTC1/SPDL1/GEN1/FBXO5/SMC4/KIF22/RACGAP1/MTFR2/BORA/SMC2/CHEK1/AURKB/MLH1/MTFR1/BRIP1/ZWINT/NUSAP1/SPAG5/KIF11/CKS2/MTBP/CENPI/CHEK2/NCAPD3/RAD1/UBE2C/CDCA8/CCNB1IP1/SGO1/CDC25C/TOP6BL/BUB1/EME1/PLK1/MZT1/NCAPG2/FANCM/RAD51D/PTTG1/CCNE2/RAD51C/CCNB1/RAD51AP1/NDC80/KNL1/TRIP13/MYO19/PGAM5/FANCD2/CCNE1/NUF2/DMC1/CENPK/NCAPH/BIRC5/XRCC3/SPICE1/CCNB2/PSMA8/KIF18A/TOP2A/GDAP1/HASPIN/NCAPG/DLGAP5/AURKA/KIFC1/CDCA5/CDC25B/KIF2C/SPC24/MYBL2/SEH1L/BUB1B/SPC25/FIGNL1/TENT4A/MKI67/RAD54L/NCAPH2/CDCA2/KIF23/CDK1/ESPL1/TMEM135/BRCA2/KIF14/PINX1/ASPM/IGF1/CENPF/TPX2/CENPE/TTK/CDC20/TUBG1/SLC25A46/DDHD2/DCAF13/KIF20B/PKMYT1/PSMC3IP/MND1/CDT1/PRC1/KIF18B/CENPS/KIF4A/NEK2/CALR/FBXO43/MEI1/INCENP/CENPX/TEX14/RAD54B/CD28/ANLN/MAP9/CEP97/SYCE2/SEPTIN1/MASTL/C11orf65/RAD51/ZNF541/STAG3/SYCE1L/BRME1/MTFP1/TDRD12/WNT4,139
GO:0098813,nuclear chromosome segregation,101/2026,276/12963,6.618930745146271e-18,4.729698798174521e-15,4.603391683654361e-15,DSN1/BUB3/RAN/MAD2L1/NDC1/ZWILCH/KNTC1/SPDL1/GEN1/FBXO5/SMC4/KIF22/RACGAP1/SMC2/SMARCB1/ACTL6A/AURKB/MLH1/CDC6/BRIP1/ZWINT/NUSAP1/SPAG5/KIF11/CENPI/CHEK2/NCAPD3/UBE2C/CDCA8/CCNB1IP1/SGO1/BUB1/PLK1/MZT1/NCAPG2/PTTG1/CCNE2/CCNB1/NDC80/KNL1/TRIP13/FANCD2/CCNE1/NUF2/DMC1/CENPK/NCAPH/BIRC5/XRCC3/SPICE1/CCNB2/KIF18A/TOP2A/HASPIN/NCAPG/DLGAP5/AURKA/KIFC1/CDCA5/KIF2C/SPC24/MYBL2/ECT2/SEH1L/BUB1B/SPC25/TENT4A/NCAPH2/KIF23/CDK1/ESPL1/KIF14/PINX1/ASPM/CENPF/PHF10/TPX2/CENPE/TTK/CDC20/TUBG1/BCL7A/DCAF13/PSMC3IP/MND1/CDT1/PRC1/KIF18B/KIF4A/NEK2/CENPQ/FAM83D/INCENP/TEX14/MAP9/CEP97/SYCE2/SEPTIN1/DPF3/STAG3/SYCE1L,101
GO:1903046,meiotic cell cycle process,66/2026,153/12963,3.26184615580535e-16,2.039469308917295e-13,1.9850050619210188e-13,NDC1/FBXO5/SMC4/SMC2/MLH1/BRIP1/CKS2/NCAPD3/RAD1/CCNB1IP1/SGO1/CDC25C/TOP6BL/EME1/PLK1/FANCM/RAD51D/PTTG1/CCNE2/RAD51C/RAD51AP1/NDC80/TRIP13/FANCD2/CCNE1/NUF2/DMC1/NCAPH/CCNB2/PSMA8/KIF18A/TOP2A/AURKA/CDC25B/CDC25A/FIGNL1/RAD54L/NCAPH2/ESPL1/BRCA2/ASPM/TTK/CDC20/TUBG1/DCAF13/PKMYT1/PSMC3IP/MND1/CENPS/CALR/FBXO43/MEI1/INCENP/CENPX/TEX14/RAD54B/SYCE2/SEPTIN1/MASTL/RAD51/ZNF541/STAG3/SYCE1L/BRME1/TDRD12/WNT4,66
GO:0140013,meiotic nuclear division,61/2026,139/12963,1.6378770624662687e-15,9.102956740506974e-13,8.859861302814612e-13,NDC1/FBXO5/SMC4/SMC2/MLH1/BRIP1/CKS2/RAD1/CCNB1IP1/SGO1/TOP6BL/EME1/PLK1/FANCM/RAD51D/PTTG1/CCNE2/RAD51C/RAD51AP1/NDC80/TRIP13/FANCD2/CCNE1/NUF2/DMC1/NCAPH/CCNB2/PSMA8/KIF18A/TOP2A/AURKA/CDC25B/FIGNL1/RAD54L/NCAPH2/ESPL1/BRCA2/ASPM/TTK/CDC20/DCAF13/PSMC3IP/MND1/CENPS/CALR/FBXO43/MEI1/INCENP/CENPX/TEX14/RAD54B/SYCE2/SEPTIN1/MASTL/RAD51/ZNF541/STAG3/SYCE1L/BRME1/TDRD12/WNT4,61
GO:0000070,mitotic sister chromatid segregation,71/2026,178/12963,3.5321240670569003e-15,1.7667684583418615e-12,1.7195867168566489e-12,DSN1/BUB3/RAN/MAD2L1/ZWILCH/KNTC1/SPDL1/GEN1/FBXO5/SMC4/KIF22/RACGAP1/SMC2/AURKB/ZWINT/NUSAP1/SPAG5/KIF11/CENPI/CHEK2/NCAPD3/UBE2C/CDCA8/BUB1/PLK1/MZT1/NCAPG2/CCNB1/NDC80/KNL1/TRIP13/NUF2/CENPK/NCAPH/BIRC5/XRCC3/SPICE1/KIF18A/HASPIN/NCAPG/DLGAP5/KIFC1/CDCA5/KIF2C/SPC24/MYBL2/SEH1L/BUB1B/SPC25/TENT4A/NCAPH2/KIF23/CDK1/ESPL1/KIF14/PINX1/CENPF/TPX2/CENPE/TTK/CDC20/TUBG1/CDT1/PRC1/KIF18B/KIF4A/NEK2/INCENP/TEX14/MAP9/CEP97,71
