ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0009611,response to wounding,160/2222,423/12963,4.403411251345851e-25,2.3452568324668e-21,1.6872017847261997e-21,KREMEN1/LYN/TLR4/ALOX5/SERPINA1/ZFP36L1/LRG1/ZFP36/PRKCD/CFLAR/MAPK14/STAT3/SLC11A1/IGF1R/JAML/ST3GAL4/VAV3/SYK/TYROBP/EMILIN2/NLRP6/NFKBIZ/PAK1/F5/PTPN6/KLF4/PLAUR/F11R/GNAQ/EXTL3/MRTFA/NOTCH2/ABHD2/CHMP3/LYVE1/THBD/F13A1/PTEN/CRK/NMNAT1/RAF1/INHBB/TSPO/CHMP1B/PRCP/WAS/F2RL1/NFE2L2/SLC1A3/TLN1/FCER1G/SIGLEC10/SH2B3/JMJD1C/PAPSS2/TGFB1/RAB27A/PROS1/SLC4A1/VAV1/EXT1/PLA2G4A/HPSE/MFSD2B/NRG1/CD44/CHMP2A/TPM1/CADM4/CNN2/VCL/HIF1A/TIMP1/KIAA0319/CEACAM1/ARHGAP24/PLEK/CTNNA1/HMOX1/ITPK1/POU5F1/TREML1/DMTN/AQP1/ITGB3/DGKG/FERMT3/ITGA5/MYL12A/PLEC/INSL3/MYH9/RIPOR1/PLSCR1/SELP/MYL9/CLEC7A/MYLK/GATA1/PF4/CD59/SCARF1/KRT1/CCR1/GP9/GP6/FKBP1B/JAK2/THBS1/P2RY12/TUBB1/TMIGD3/MMRN1/SLC6A4/ALOX12/MPIG6B/SULF2/VASH1/P2RX1/GNA12/SERPINB2/ITGB4/TNFAIP3/SYTL4/GPX1/MERTK/VWF/ANXA1/PEAR1/HSPB1/F12/EREG/VIL1/P2RY1/TFPI/TNFRSF12A/ENTPD2/F2RL3/SERPINC1/PPARG/GATA2/SLC1A2/EPB41L4B/MYOF/ADORA2A/GP1BA/PRKG1/SCUBE1/ADRA2A/RTN4RL2/PROC/RGMA/NFIB/CYP4F2/PDGFRA/EVPL/FERMT2/PPL/MMP2/PDPN,160
GO:0042060,wound healing,128/2222,327/12963,9.140110161444826e-22,2.4340113359927572e-18,1.751052683561009e-18,LYN/TLR4/ALOX5/SERPINA1/LRG1/PRKCD/CFLAR/MAPK14/SLC11A1/JAML/ST3GAL4/VAV3/SYK/EMILIN2/NLRP6/PAK1/F5/PTPN6/PLAUR/F11R/GNAQ/MRTFA/NOTCH2/CHMP3/THBD/F13A1/PTEN/CRK/RAF1/CHMP1B/PRCP/WAS/F2RL1/NFE2L2/TLN1/FCER1G/SH2B3/JMJD1C/PAPSS2/TGFB1/RAB27A/PROS1/SLC4A1/VAV1/EXT1/PLA2G4A/HPSE/MFSD2B/NRG1/CD44/CHMP2A/TPM1/CADM4/CNN2/VCL/HIF1A/TIMP1/CEACAM1/ARHGAP24/PLEK/HMOX1/ITPK1/TREML1/DMTN/AQP1/ITGB3/DGKG/FERMT3/ITGA5/MYL12A/PLEC/INSL3/MYH9/PLSCR1/SELP/MYL9/CLEC7A/MYLK/GATA1/PF4/CD59/KRT1/GP9/GP6/JAK2/THBS1/P2RY12/TUBB1/MMRN1/SLC6A4/ALOX12/MPIG6B/P2RX1/GNA12/SERPINB2/TNFAIP3/SYTL4/GPX1/MERTK/VWF/ANXA1/PEAR1/HSPB1/F12/EREG/VIL1/P2RY1/TFPI/TNFRSF12A/ENTPD2/F2RL3/SERPINC1/PPARG/GATA2/EPB41L4B/MYOF/ADORA2A/GP1BA/PRKG1/SCUBE1/ADRA2A/PROC/CYP4F2/PDGFRA/EVPL/FERMT2/PPL/PDPN,128
GO:0050878,regulation of body fluid levels,110/2222,270/12963,1.953505979624144e-20,3.4681242824927303e-17,2.4950041283620647e-17,LYN/FOSL2/TLR4/SERPINA1/NFE2/PRKCD/STAT5B/ADM/NCOA1/MAPK14/ST3GAL4/VAV3/SYK/EMILIN2/NLRP6/OPRL1/ZBTB7B/F5/PTPN6/PLAUR/F11R/GNAQ/STAT5A/THBD/F13A1/GNAI2/WAS/F2RL1/PRKACA/NFE2L2/TLN1/FCER1G/SH2B3/JMJD1C/PAPSS2/NR1H2/HK2/RAB27A/PROS1/SLC4A1/VAV1/EXT1/PLA2G4A/HPSE/MFSD2B/VCL/HIF1A/CEACAM1/PLEK/ITPK1/P2RY2/TREML1/DMTN/AQP1/ITGB3/CYBA/DGKG/FERMT3/MYL12A/MYH9/MTX1/PLSCR1/SELP/MYL9/GATA1/PF4/CD59/KRT1/NEURL1/GP9/GP6/JAK2/THBS1/ZNF385A/HYAL2/P2RY12/WNK1/TUBB1/MMRN1/SLC6A4/ALOX12/EDNRB/MPIG6B/P2RX1/GNA12/SERPINB2/MERTK/VWF/PEAR1/HSPB1/F12/P2RY1/PRL/TFPI/ENTPD2/F2RL3/SERPINC1/SLC4A9/ADORA2A/GP1BA/PRKG1/SCUBE1/ADRA2A/PRLR/PROC/CDO1/ADCY6/CYP4F2/PDGFRA/PDPN,110
GO:0050817,coagulation,83/2222,182/12963,2.4890921185583997e-19,3.314226155860509e-16,2.3842882398822567e-16,LYN/TLR4/SERPINA1/PRKCD/MAPK14/PSEN1/ST3GAL4/VAV3/SYK/EMILIN2/F5/PTPN6/PLAUR/F11R/GNAQ/THBD/F13A1/WAS/F2RL1/NFE2L2/TLN1/FCER1G/SH2B3/JMJD1C/PAPSS2/RAB27A/PROS1/SLC4A1/VAV1/PLA2G4A/HPSE/MFSD2B/VCL/CEACAM1/PLEK/ITPK1/TREML1/DMTN/ITGB3/DGKG/FERMT3/MYL12A/MYH9/PLSCR1/SELP/MYL9/GATA1/PF4/CD59/KRT1/GP9/GP6/JAK2/THBS1/P2RY12/TUBB1/MMRN1/SLC6A4/ALOX12/MPIG6B/P2RX1/GNA12/SERPINB2/SEMG1/MERTK/VWF/PEAR1/HSPB1/F12/P2RY1/TFPI/ENTPD2/F2RL3/SERPINC1/ADORA2A/GP1BA/PRKG1/SCUBE1/ADRA2A/PROC/CYP4F2/PDGFRA/PDPN,83
GO:0007599,hemostasis,83/2222,186/12963,1.3227581267121338e-18,1.409001956573765e-15,1.0136504381541406e-15,LYN/TLR4/SERPINA1/NFE2/PRKCD/MAPK14/ST3GAL4/VAV3/SYK/EMILIN2/F5/PTPN6/PLAUR/F11R/GNAQ/THBD/F13A1/WAS/F2RL1/NFE2L2/TLN1/FCER1G/SH2B3/JMJD1C/PAPSS2/RAB27A/PROS1/SLC4A1/VAV1/PLA2G4A/HPSE/MFSD2B/VCL/CEACAM1/PLEK/ITPK1/TREML1/DMTN/ITGB3/DGKG/FERMT3/MYL12A/MYH9/PLSCR1/SELP/MYL9/GATA1/PF4/CD59/KRT1/GP9/GP6/JAK2/THBS1/ZNF385A/P2RY12/TUBB1/MMRN1/SLC6A4/ALOX12/MPIG6B/P2RX1/GNA12/SERPINB2/MERTK/VWF/PEAR1/HSPB1/F12/P2RY1/TFPI/ENTPD2/F2RL3/SERPINC1/ADORA2A/GP1BA/PRKG1/SCUBE1/ADRA2A/PROC/CYP4F2/PDGFRA/PDPN,83
GO:0007596,blood coagulation,81/2222,180/12963,1.8481694196677423e-18,1.6405583881917325e-15,1.180234506594839e-15,LYN/TLR4/SERPINA1/PRKCD/MAPK14/ST3GAL4/VAV3/SYK/EMILIN2/F5/PTPN6/PLAUR/F11R/GNAQ/THBD/F13A1/WAS/F2RL1/NFE2L2/TLN1/FCER1G/SH2B3/JMJD1C/PAPSS2/RAB27A/PROS1/SLC4A1/VAV1/PLA2G4A/HPSE/MFSD2B/VCL/CEACAM1/PLEK/ITPK1/TREML1/DMTN/ITGB3/DGKG/FERMT3/MYL12A/MYH9/PLSCR1/SELP/MYL9/GATA1/PF4/CD59/KRT1/GP9/GP6/JAK2/THBS1/P2RY12/TUBB1/MMRN1/SLC6A4/ALOX12/MPIG6B/P2RX1/GNA12/SERPINB2/MERTK/VWF/PEAR1/HSPB1/F12/P2RY1/TFPI/ENTPD2/F2RL3/SERPINC1/ADORA2A/GP1BA/PRKG1/SCUBE1/ADRA2A/PROC/CYP4F2/PDGFRA/PDPN,81
GO:0002274,myeloid leukocyte activation,86/2222,201/12963,8.056451035624006e-18,6.129808316533351e-15,4.409846882657351e-15,IFNGR2/TLR6/GAB2/LYN/TLR1/TLR4/CXCR2/DYSF/LAT2/MYD88/C5AR1/LTBR/PTAFR/SPI1/LILRA2/FGR/TLR2/PRKCD/IL4R/ADGRE2/SBNO2/CD300LF/SLC11A1/ANXA3/PSEN1/PREX1/SYK/TYROBP/CD177/PIK3CD/CBL/IFNGR1/ITGAM/FES/PTPN6/ITGB2/IL18RAP/NOTCH2/CD93/TGFBR2/STXBP2/S100A12/CD300A/NDRG1/SNAP23/F2RL1/FCER1G/AIF1/LRRK2/LCP2/TLR9/ADAM9/RBPJ/PYCARD/CST7/CEBPA/PTPRC/RAC2/PLA2G4A/CLEC4D/UNC13D/RELB/SNCA/PRAM1/FCGR3A/CLU/IL18/PLSCR1/PJA2/NMI/GATA1/CD33/MILR1/ZC3H12A/JAK2/THBS1/HYAL2/NECTIN2/ANXA1/MMP8/GATA2/BATF2/PTGDS/CXCL6/CNR1/IL31RA,86
GO:0007186,G protein-coupled receptor signaling pathway,156/2222,473/12963,1.0030297048024613e-17,6.677670259722386e-15,4.803984375632841e-15,RASGRP4/ARHGEF11/CXCR2/FPR1/FPR2/C5AR1/ADGRG3/PROK2/SORL1/CXCR1/ZDHHC7/HRH2/PTAFR/ARRB2/P2RY13/ADM/ADGRE2/GIT2/PREX1/RGS19/GPR27/ECE1/PSAP/C5AR2/LTB4R/GPR141/NLRP6/ACP3/OPRL1/LPAR2/PTPN6/HCAR3/SORT1/HCAR2/GNAQ/AGTRAP/ADGRE5/SLC24A4/INPP5A/HOMER3/FFAR2/GNAI2/APLP2/IGF2R/F2RL1/PRKACA/PTK2B/OR2W3/RGS3/RGS2/WASF2/GNB2/FCN1/GNA15/RGS14/MGRN1/GPER1/GRK2/VAV1/RAC2/GPR84/MFSD2B/ADGRE3/PLCB2/ADGRE1/FFAR3/GPR132/GPR146/GHRL/PLEK/PRKAR1A/CXCL1/NECAB2/ARRB1/P2RY2/OXER1/SNCA/S1PR4/ZDHHC3/TMOD2/PHF24/ITGB3/DGKG/GRK6/GNAZ/UBQLN2/INSL3/CA2/FZD1/KCNQ1/RAPGEFL1/PF4/ROCK1/GPR42/RGS6/CCR1/HPGD/CDK5R1/GPR65/FZD5/JAK2/P2RY12/PDE2A/C3AR1/RGS18/ALOX15B/ARRDC3/P2RY14/GNG11/NTSR1/DYNLT1/ACKR1/EDNRB/PARD3/GPR35/ADCY4/GPR20/GNA12/PDE4B/PCSK1N/ANXA1/RPH3AL/KISS1R/EREG/ADGRG2/GPR17/P2RY1/S1PR3/TENM1/OR2T8/C3/SPNS2/ENTPD2/HOMER2/FZD2/F2RL3/CMKLR2/LPAR1/PPARG/SORCS3/TGM2/ARHGEF12/HCAR1/GPR85/CACNA1D/PALM/ADORA2A/GP1BA/ADRA2A/TAAR1/OR2C3/AKAP12/CNR1/ADCY6/HRH4/PLCB4,156
GO:0006935,chemotaxis,123/2222,346/12963,5.300352040402958e-17,2.822967496718616e-14,2.030871729164923e-14,LYN/STX3/CXCL16/CXCR2/DUSP1/IL17RA/FPR1/FPR2/ALOX5/C5AR1/MAPK1/TREM1/PROK2/CXCR1/PTAFR/SPI1/CSF3R/ARRB2/IL6R/PPM1F/PRKCD/IL1B/ADGRE2/BST1/MAPK14/RIPOR2/JAML/PADI2/PREX1/CMTM2/VAV3/DUSP3/C5AR2/TNFSF14/SYK/CMTM1/RHOG/PIK3CD/MOSPD2/FES/SEMA4B/ITGB2/PTPRJ/PLAUR/GPSM3/RIN3/MPP1/BIN2/MAPK3/CYRIB/S100A12/CRK/FFAR2/ADAM8/NOTCH1/F2RL1/S100A9/PLP2/FCER1G/AIF1/ELMO2/PTK2B/NINJ1/NEDD9/TGFB1/PPBP/DOCK4/SLC8B1/SEMA6B/VAV1/RAC2/CKLF/NRG1/RALBP1/HGF/CXCL5/S100A8/LYST/PLD1/TRPM2/PF4V1/DAPK2/CXCL1/LSP1/ITGB3/NOD2/SEMA4A/CAMK1D/TNFAIP6/CD300H/PLEC/PLXNB3/NR4A1/PF4/CCR1/BSG/CMTM5/THBS1/HSD3B7/LGALS3/P2RY12/WNK1/C3AR1/TYMP/PGF/EDNRB/PDE4B/ANXA1/ANOS1/SEMA3B/HSPB1/EPHB1/LPAR1/SEMA3C/JAM3/SFTPD/CCN3/NTRK3/EGR3/CXCL6/PDGFRA/MMP2/SEMA3A,123
GO:0042330,taxis,123/2222,346/12963,5.300352040402958e-17,2.822967496718616e-14,2.030871729164923e-14,LYN/STX3/CXCL16/CXCR2/DUSP1/IL17RA/FPR1/FPR2/ALOX5/C5AR1/MAPK1/TREM1/PROK2/CXCR1/PTAFR/SPI1/CSF3R/ARRB2/IL6R/PPM1F/PRKCD/IL1B/ADGRE2/BST1/MAPK14/RIPOR2/JAML/PADI2/PREX1/CMTM2/VAV3/DUSP3/C5AR2/TNFSF14/SYK/CMTM1/RHOG/PIK3CD/MOSPD2/FES/SEMA4B/ITGB2/PTPRJ/PLAUR/GPSM3/RIN3/MPP1/BIN2/MAPK3/CYRIB/S100A12/CRK/FFAR2/ADAM8/NOTCH1/F2RL1/S100A9/PLP2/FCER1G/AIF1/ELMO2/PTK2B/NINJ1/NEDD9/TGFB1/PPBP/DOCK4/SLC8B1/SEMA6B/VAV1/RAC2/CKLF/NRG1/RALBP1/HGF/CXCL5/S100A8/LYST/PLD1/TRPM2/PF4V1/DAPK2/CXCL1/LSP1/ITGB3/NOD2/SEMA4A/CAMK1D/TNFAIP6/CD300H/PLEC/PLXNB3/NR4A1/PF4/CCR1/BSG/CMTM5/THBS1/HSD3B7/LGALS3/P2RY12/WNK1/C3AR1/TYMP/PGF/EDNRB/PDE4B/ANXA1/ANOS1/SEMA3B/HSPB1/EPHB1/LPAR1/SEMA3C/JAM3/SFTPD/CCN3/NTRK3/EGR3/CXCL6/PDGFRA/MMP2/SEMA3A,123
